// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc156_spa_4	世の中に永遠というのはない。\いつか全て消えて、残るのは\歪んだ記憶だけだ…\だから私は…永遠の命を望んだのだ。
sc156_spa_5	なにやら私を避けているようだが…\そなた、私が怖いのか？\そのように避けられては、いささか\寂しい気分になる。
sc156_spa_max	私はいつも暗闇の中にいる…\だが、それは坊やの側に\いつもいるということ。
sc158_spa_1	イケメンは気になるけど、\今は温泉の方が大切かも～
sc158_spa_2	わ～！イケメンがたくさ～ん！\ここは、最高な場所だよ～\悪魔くん！
sc158_spa_3	あたし、めちゃくちゃ好みのイケメンを\見つけたの～\今度その人を誘ってプールにいこうかな～\あれ？よく見たらこのイケメンの正体は\悪魔みたいだけど…大丈夫だよね？
sc158_spa_4	ありがと～悪魔くん。\悪魔くんのチャイルドになったおかげで、\人を愛する勇気を持てたよ～\後はイケメンが釣れたらいいのに～
sc158_spa_5	悪魔くん！\ぼーっとしてても何も始まらないよ～\仕方ないな～あたしが教えてあげるから\ついていらっしゃい！
sc158_spa_max	初めて会った時から悪魔くんは、\鈍感なんだよね～\もう、仕方ないな～ゆっくり待っていても\恋愛なんてできないよ！
sc159_spa_1	うるさいわね～…\ロキ様の言葉以外は、私にとって\ぜんぶ雑音なのよ。
sc159_spa_2	なにか企んでるの～？\でも残念ね～\私、今とっても忙しいの～
sc159_spa_3	こういうのを三顧の礼って言うのかしら～？\それとも風と太陽？
sc159_spa_4	私を口説こうとしてもムダよ～\私はもう、あの方のものだから～！
sc159_spa_5	あなたと仲いいフリしろってこと？\そんなことして何の意味があるの？\そこまでして私と友達になりたいなんて…\ふふっ、バカねっ！
sc159_spa_max	しょうがないから、仲良くしてあげるわ～\チビ悪魔って意外とガンコね～\ホント、しつこいんだから～
sc164_spa_1	こ、こんな……\ハレンチな……！
sc164_spa_2	なんだその顔は？\なんで勝手に私の表情を読んでるんだ？\他人の考えを盗み見ようなんて変態だな。
sc164_spa_3	めんどくさい。\みんな私がお前と喧嘩したと思ってる。\私はただ…お前の傍にいるのが\気になってるだけなのに…
sc164_spa_4	たまには私のことも考えて。\…私が冷たくしても、優しく受け入れて。
sc164_spa_max	あっち行ってとは言ったけど、\本当にそんなに離れる事ないでしょ。\こ、これくらいなら近くに来てもいいよ。\…あ、いや、ちょっと近い…
sc167_spa_1	私だけ、こんなに楽をしてしまって\いいのかしら～
sc167_spa_2	ごきげんよう、ご主人様。\今日はどんな話をしましょうか？\時間はたくさんありますから…\焦らないでゆっくりとお話ししまょう。
sc167_spa_3	悪魔はどれだけ長生きできるのでしょうか？\いえ、正しくはあなたと私、どれくらい\一緒にいられるのでしょう。\明日のことだけを考えて生きてきたのが、\もうずいぶんと前の事だなんて…不思議ですね。
sc167_spa_4	チャイルドも、人間もそんなに大きな違いは\ないですね。だから、私はチャイルドに向いて\いるのかもしれません。\実は、邪悪な性格をしているのかも…ふふっ。\冗談ですよ。
sc167_spa_5	甘えであることはわかっていますが、\時にはあなたに頼りたくなるのです。\私はあなたのチャイルドで、\あなたは私のご主人様なのですから…\…あ、少し刺激が強すぎましたか？
sc167_spa_max	全部、お話しください。\私はあなたのことが知りたいのです。\私が傍にいない時のあなたは、\どんな悪魔なのですか？\あなたのことを教えてください。
sc169_spa_1	チョコ…全部溶けちゃった…ぐすん。
sc169_spa_2	悪魔たちって、みんな何だか\気分が悪そう…\みんなチョコレートを食べれば\幸せになれるのに…
sc169_spa_3	はぁ～…なんでため息をつくの？\ふ～ん…\私は、ただご主人様の真似を\しただけだから…
sc169_spa_max	ご主人様と、こうして\ゆっくりできるの嬉しい。\出たら私が甘いチョコレートを\いっぱい買ってあげる。\とっておきの幸せの味だよ。
sc172_spa_1	キレイにすれば、\心もさわやかになるわ。
sc172_spa_2	今日も彼から手紙が来ていたの？\手紙の返事を書けですって？\そうね…どうしたらいいのかしら。
sc172_spa_3	こんにちは坊や。\ちょうど良かった、今あなたの事を\お祈りしていたの…\あなたも私のためにお祈りを…\あら、逃げちゃうの？ふふ…
sc172_spa_4	悩みがあるの…\ちょっと重い告白をされてね…\でも坊やが私に勇気をくれるなら、\心を開くことができるかも。
sc172_spa_max	たまには後ろを振り返ってみるのはどう？\私の目には映っているわ。\あなたを照らす優しくて美しい光が…
sc173_spa_1	温泉に浸かるのも…悪くないな。
sc173_spa_2	ご主人も毎日が退屈なんでしょ？\だからいつもそんな顔をしているんだね…
sc173_spa_3	遊んでくれないならあっちに行ってて。\気が散るから。
sc173_spa_4	ご主人、退屈そうだね。\あたしと遊ぶ？\誰かに頼まれたとかじゃなくて、\あたしが遊びたいと思ったから…\なに？嫌なの？
sc173_spa_5	戦いは嫌い。\面倒だし汗を流すのも嫌。\ご主人とおままごとをしている方が\ずっと良いわ。
sc173_spa_max	あたしだって知ってる。\あたしの相手をするのは面倒だって。\あれ？違うの？\本当のところは知らないけど…\言ってもらえただけでも何だか嬉しいね。
sc174_spa_1	ああ～激務で疲れた体が癒される～…\たまにはこういう命の洗濯しなくちゃね★
sc174_spa_2	二人きりなんて、ちょっとだけ\ドキドキしちゃうわね★\ちょうどいいので、今から\A.I単独密着取材といきますか！
sc174_spa_3	ハ～イ！チビ候補生さん！\今日はどんな驚きのニュースを\教えてくれるの？\ふふ、冗談よ！\それにしても、よく私を見つけられたわね。
sc174_spa_4	またまたチビ候補生さんじゃない！\今は私のプライベートな時間だけど、\特別にあなたに時間を割いてあげる。\それで？なんのご用かしら？\私とお話したいんでしょ？
sc174_spa_5	なんとも色んな意味で熱～～い魔王争奪戦！\視聴率もメラメラ燃える炎のように急上昇！\もぉ～魔王争奪戦最高！\悪魔達の世話とかしてた奴の取材をしてた\あの頃になんか戻りたくないわ！
sc174_spa_max	《チャンネルEvilリポーター、\A.Iとの密着デート★》\あなたと私が出演する密着デートを\チャンネルEvilで放送しようと\思うんだけどどう？出演してみない？
sc175_spa_1	騎士たる者、このような時でも、\気を抜くわけには…
sc175_spa_2	主君よ、魔王争奪戦が始まって\結構経ちますが、その間どれほど\成長されたのか、今日試してみても\よろしいでしょうか。
sc175_spa_3	争奪戦の最中だというのに、\この時期に温泉なんて贅沢をしていいのか\心配になります。
sc175_spa_4	主君に仕えるのは、チャイルドの使命。\対価など、望んではおりません。
sc175_spa_5	主君が、私を心配されていると聞きました。\心配は無用です、このレッドクロス、\主君のための不敗の騎士が…\あ、レディユーナのことだったんですね。
sc175_spa_max	もっと勇気をもって下さい。\私が最後まで側でお守りいたします。\あなたは、あなたの理想を広げて下さい。
sc176_spa_1	こーんな贅沢ができるなんて！\あなたのおかげね。
sc176_spa_2	あら珍しい。\なかなか会わない人に会えたわ。\こんにちは。なにかご用？\え？用はないの？\ずいぶんつまらない事言うのね。
sc176_spa_3	んふふふ～今日はツイてたわ。\見て！こんなに稼いだのよ！\あの頭が氷みたいにカチンコチンで\ただ体がでかいだけの奴なんて\ちょろいもんだわ。
sc176_spa_4	あらいらっしゃい！\エシュにとって最後のターゲット！\ふふ、冗談よ。\なにかしようなんて思ってないわ。\そんなに怖がらなくてもいいじゃない。
sc176_spa_5	ねえ、魔王になったらどうするつもりなの？\あたしは、人間も悪魔もいないずっと遠くの\静かなところで、家を建てて住むつもり。\そこで、あなたと前の主人達を思い出して\あげるわ。…たまにだけどね。
sc176_spa_max	本当にエシュの最後の主人になってみる？\でも、あまり実感がわかないわ。\主人殺しのジンクスは終わったのかしら？\…まぁ、もうこれ以上誰かを亡くすのは\ごめんなんだけどね…
sc178_spa_1	今日は追いかけっこしないの？
sc178_spa_2	あってるかどうか私は知らない…\ただ…霧のように浮かんでるだけ…
sc178_spa_3	私が消えても…\あなたは、私を覚えていてくれる？
sc178_spa_max	ありがとう…\私のことを理解してくれて。\言いたいとこは、それだけ。
sc180_spa_1	よいぞ、とてもよいぞ！\はははは！
sc180_spa_2	この偉大なる王、マンモン様が求めるのは、\美しい女と巨万の富！\他は何もいらぬ！
sc180_spa_3	あぁ、悲しく孤独な我が人生よ！\彼女の心を掴めるのならば、金銀財宝\すべてを捧げてもかまわぬ！\…いや、全ては多すぎるから\半分の半分くらい？
sc180_spa_4	まったく、汚らわしい。\狭く汚い部屋にシワだらけの服！\この金で綺麗な服でも買ってきたまえ。\召し使い1号。
sc180_spa_5	このマンモン様と、モナさんとの仲を\取り持ってくれたまえ！\ハァ～ハッハッハッ！
sc180_spa_max	さあ、召し使い1号！\いや伝書鳩1号よ！\我の一途な恋心をモナさんに\早く届けるのだ！
sc183_spa_1	女神にも安息は必要なのじゃ。
sc183_spa_2	契約者の記憶があるかと尋ねているのか？\愚かなる者に教えよう。\泡のように儚く、いずれ消えゆくのが\人間の生。\私にとって無用な物は全て置いてきた。
sc183_spa_3	あのチャイルド達は、\温泉で病を癒すというのか…\憐れな…実に憐れなことだ…
sc183_spa_4	小さき悪魔よ。\つまらない悩みがおぬしの心を\乱しているのだな。\安心して私の傍でゆっくり休むと良い。
sc183_spa_5	ひざまずき、頭を下げて祈りを捧げ、\我を讃えよ！\我の言葉に従う者に幸いあれ！
sc183_spa_max	我は、汝の傍に常に在る。\我にひざまずき、祈りを捧げよ。\汝が助けを求めた時、女神の祝福が\もたらされるであろう。
sc184_spa_1	こういう楽園も悪くないわねぇ～…\はぁ、いい気分…♪
sc184_spa_2	魔王争奪戦なんてやめて、\遠くに行きた～い！\そろそろ、1254回目の脱出計画を\立てる時かも？
sc184_spa_3	いつか戦いが終わって、平和が訪れたら…\あたしは楽園を求めて旅立つわ。
sc184_spa_4	何？一緒に家出がしたいの？\あ！さては悪魔もサキュバスから\脱出したいんでしょう。\そういうことならば歓迎よ。\ヨーホー♪
sc184_spa_max	疲れた時は、楽園のことを思い浮かべて\ごらんなさい。\楽園なんてどこにもないって？\当たり前じゃない！\楽園は自分で作るものよ。
sc186_spa_1	気分もよくなったし、ごほうびをあげないとね～？
sc186_spa_2	犬にも温泉のよさがわかるの～？\あんたは入らないで、\冷たい飲み物でも用意しといて。
sc186_spa_3	ラブリーも連れて来ればよかった～\ふふっ、嫉妬してるの～？
sc186_spa_4	この温度を維持しなさい。\反抗したらどうなるか、わかってるわね～？
sc186_spa_5	これはあんた専用の首輪よ～\ラブリーの首輪よりスペシャルなものなんだから～
sc186_spa_max	そろそろ認めてやってもいいかもね。\あんたは世界一の主人よ。\このあたしを手懐けるなんてね…ふふっ…
sc187_spa_1	ここでは、私の涙も見えないでしょう？
sc187_spa_2	…メディア。\静かにしていてくれない？\うるさくて頭に響くわ。
sc187_spa_3	私の心は悲しみの海の底に沈んでいる…\そこから逃れる方法はない。\なぜなら深海は、私自身なのだから…
sc187_spa_4	メディアに伝えて…\あなたの温かさが私の慰めになったと…
sc187_spa_5	何も言わず、ただ私の傍にいて。\それで十分よ…
sc187_spa_max	今までの過去は全て不幸だったけれど、\あなたと過ごせるこれからは、\幸せになるかもしれない…\楽しみね。
sc188_spa_1	ふわぁ…体が溶けちゃいそう…
sc188_spa_2	とうとう証拠を掴んだわ！\もう犯人は捕まえたも同じ…\犯人は前だ、悪魔！
sc188_spa_3	ふん！この私が、アンタの下手な嘘に\騙されるとでも思った？\はっ！ちょっと待って…\アンタの言ってることの方が\正しい気がしてきた…
sc188_spa_max	悪いやつに正義の鉄槌…\そうよ、ハンマーで正義を体に\叩き込んでやるのが私の使命だわ。
sc189_spa_1	こういう所には、しょっちゅう\連れて来てほしいな。
sc189_spa_2	こら～逃げるな～！\今回は絶対に逃さないからね～！\なんで、追いかけるのかって？\それを知らないのが、アンタの罪よ！
sc189_spa_3	嫌でも我慢しなさい！\私が隣についてないと、逃げるアンタが\悪いんでしょ！
sc189_spa_max	アンタを捕まえたら、どうするかって？\他のヤツらが、アンタをいじめないように\守ってあげるのよ！\あ！ちょっと、なんで笑ってるの？
sc190_spa_1	女優にとって、演技と同じくらい肌は大事なの。\はぁ～すべすべになりそう♪
sc190_spa_2	最近、パパラッチがあちらこちらにいて\大変です。\俳優の私生活は秘密なんですけどねぇ…
sc190_spa_3	私がやった演技の中で、\一番記憶に残るのはなんですか？\…やっぱり！そうですよね！\それですよね！\「高血圧で倒れる会長」ですよね！！
sc190_spa_4	ご主人様…\馬鹿みたいに、よだれをたらしながら\テレビを見るなんて…\悔しい！あんなチキン料理ごときに、\ご主人様の視線を奪われるなんて！
sc190_spa_max	演技は、偽りではありません。\でも、現実でもありません。\でも、役と向き合うのは、俳優の宿命です。\演技している時間は、私にとって\現実なんです。
sc191_spa_1	くー！いい気分だ！
sc191_spa_2	私の力の源が何か知りたいって？\情熱！勝負欲！絶対的な自信！\お前のような、小僧は想像もできない力だ。
sc191_spa_3	私の秘密を教えてやろう…\私の力の源は《髪》だ。\髪が切られると他のヤツのように力が\弱くなってしまう…\ははっ、信じたのか？
sc191_spa_max	義理のセクメト！\一回結んだ縁は、死ぬまで責任を取る！\だから私を信じろ、小僧。
sc193_spa_1	キャァ～ッ！\こっちに来ないで～！\悪魔は近づかないで～！
sc193_spa_2	悪魔なのにすごいわね。\こんな温泉まで作れるなんて…\ふぁ～…
sc193_spa_3	誰が勝手に知り合いのフリをしろなんて\言ったのよ！\ヘラヘラ笑わないで！\誰かに見られたら、お友達になったと\思われるでしょ！
sc193_spa_4	勘違いしているようだけど、あなたと\契約したのは、先生のためよ。\だから、いちいち指図しないで！\まぁ…お願いなら聞いてあげてもいいけど…
sc193_spa_5	先生は…心の病気なの。\必ず私が先生の病気を治す。\だからあなたも…手伝って…
sc193_spa_max	あなたってホント変な悪魔ね。\どうして人間のマネをするの？\本当に困るの…\このままじゃ、あなたを許しちゃう…
sc194_spa_1	しっ…野暮なことは言いっこなしですわ。
sc194_spa_2	私も嘘は良くないと思いますわ。\あ、いけない。言葉が足りていませんでした。\《すぐにバレる》嘘は良くないと思いますわ。\フフフッ。
sc194_spa_3	悪魔がやることといえば、人を騙し、\惑わすことではないでしょうか？\ですが、ご主人様からは、ちっとも\悪魔らしさが感じられませんわ。
sc194_spa_4	真実や正義なんてどうでもいいですわ。\勝った者だけが認められるのですよ…\フフフッ。
sc194_spa_5	ご主人様は優しすぎます\ご主人様に優しくされればされるほど、\がっかりしてしまいますわ。
sc194_spa_max	ご主人様が魔王になる日を\心待ちにしていますわ。\ご主人様が相手ならば、\簡単に倒せるでしょうから。
sc195_spa_1	温か～い。\テロンも気持ちよさそうね。
sc195_spa_2	テロンが人を捕まえて\食べてしまうだなんて…\失礼ですね。\早くテロンに謝ってください。
sc195_spa_3	テロンがご主人様と\お散歩をしたいと言って聞かないのです。\テロンのこと、お願いしても\いいでしょうか？
sc195_spa_4	あら？\テロンがご主人様を見つめて\舌を出していますね。\たぶん、ご主人様のお顔を\舐めたいのだと思いますよ。
sc195_spa_max	貴方は、楽園がどこにあるか\知っていますか？\ふふふ…貴方は知らないというけど、\私にはわかります。貴方と一緒ならば\楽園を作ることができると…
sc196_spa_1	私のリンゴを食べたい？後悔するわよ…
sc196_spa_2	お主、私がやってることが何かと聞いたな。\私がしていることは、とても大事なことだ。\それは《存在する》ということ。\ここにいるだけで、私はたくさんのことが\できているのだ。
sc196_spa_3	私自ら、お主のために戦ってやるのだから、\当然、対価は用意しているだろう？\まぁ、何を出されても私を満足させることは\できないだろうがな…
sc196_spa_max	上に立つ者が、下の者を使うのだ。\まぁ、当然な成り行きだろう。\だが、お主も私を主人だと言うし、\私もお主を主人だと言うからな…\さて、どうしたものか…
sc198_spa_1	うふ…もっと、お手入れしてちょうだい。\あなたの、一番の武器でいられるように…
sc198_spa_2	こんにちは…どうしたの？\うふふ…何かを期待しているみたいね？\正直に話してくれたら、\お願いを聞いてあげるかも…\あげないかも…
sc198_spa_3	あらあら…\どこから見ていたの？うふふ。\注目されるのは慣れているから平気。\おかしいわね…本音を隠すのは、\得意なはずなんだけど…思わず漏れてしまう…
sc198_spa_4	多くのチャイルドや、サポーターたちの\世話をするのは疲れますよね、ご主人サマ…\うふふ、冗談よ。\毎日そんなに驚けるのも一種の才能かしら？\愛想を尽かすのは、まだまだ遠い先ね…
sc198_spa_max	異性と二人きりだというのに\緊張感のかけらもないみたいね。\こんなにサインを出しているのに\気づいてもらえないなんてがっかりだわ。\な～んてね、冗談よ。
sc199_spa_1	あったか～い。
sc199_spa_2	あたしの願い事？\誰にもナイショなんだけど…\後で悪魔さんにはこっそり教えてあげるね。
sc199_spa_3	悪魔さんが何を考えているのか、\もっと知りたいけど…\悪魔さんの言葉は難しいなあ…
sc199_spa_4	悪魔さん。悪魔さんってば。\寝たふりしているのわかっているよ。\早く起きてあたしと一緒に遊ぼう。
sc199_spa_5	悪魔さん、あたしのことを呼んだ？\大好きな悪魔さんに呼んでもらえるの\すごく嬉しいな！
sc199_spa_max	悪魔さんも、\いつかは大人になっちゃうよね。\あたしは、いつまで経っても\変わらない姿だろうけど…\大人になってからも遊んでくれなきゃ嫌よ。
sc200_spa_1	眼鏡が曇ってしまいました。\これだから温泉は…
sc200_spa_2	どんなに賢くても、\犯人は必ず証拠を残します。\この探偵の目を誤魔化すことは\できませんよ。
sc200_spa_3	周りで怪しい悪魔やチャイルドを\見たことはありませんか？\奇妙なことが良く起きるとか…\あ、気にしないで下さい。\確認で来てるだけですから。
sc200_spa_max	気を付けて下さい。\この世は、利己的な欲望と邪悪な陰謀の\坩堝です。\ちゃんと自分を守らないと、\犯罪者たちの餌食になってしまいますよ。
sc202_spa_1	ふああああ～…\極楽極楽…ってやつだな…
sc202_spa_2	どんな復讐をするのかだって？\旦那は、私の辛い過去に土足で\踏み込んでくるんだな。\あ、冗談だ、冗談。\もう少し親しくなったら教えてやるよ。
sc202_spa_3	旦那、あたし前に言ったよな？\やってみないと分からないって。\今でもそう思っているよ。
sc202_spa_4	何が知りたいんだよ？恋人がいるかとか？\ギャハハ！冗談だよ！\あたしの復讐のことだろ？\悪魔の誘惑に負けた、バカな中年親父が\家庭を壊して廃人になったってだけだよ。
sc202_spa_max	さっきからずっと、\やけに人の顔色を気にするな～と思ったら、\あたしの過去が気になってるんだね。\旦那が気にすることじゃないから、\気にしなさんな。
sc203_spa_1	なんて…神秘的な場所なの。\気に入ったわ…
sc203_spa_2	誰が魔王になっても一緒よ。\弱い者いじめはなくならないわ…
sc203_spa_3	この世で一番かわいそうなのは、\言葉の話せない動物よ。\私は彼らを最後まで守るって誓ったの。
sc203_spa_4	これこそ私が望んだ世界だわ。\なんて平和なの。\ここにいる動物たちも、みんな幸せそう。
sc203_spa_5	この世界の住人がみんな、\あなたみたいな温かい心の持ち主だったら、\動物たちとの共存も夢じゃなくなるかもね。
sc203_spa_max	ありがとう。あなたのおかげで、\悪魔に対する考え方が変わったわ。\あなたが魔王になれるように、応援してる。
sc205_spa_1	すっごい水しぶき！
sc205_spa_2	お兄ちゃん！\僕とゲームで勝負しよう！\僕が勝ったら、お兄ちゃんがテロンのヒゲを\抜いて来ること！
sc205_spa_3	お兄ちゃんは僕と一緒にいるのが嫌なの？\いつも嫌そうな顔をしているよね？\嫌いじゃないなら今日、僕と遊んでね～
sc205_spa_4	僕の世界は偽物ばかりだった。\楽しかったけど何だか息苦しくて\寂しかった…でも、もう大丈夫。\お兄ちゃんが僕を本当の世界に\呼んでくれたから！
sc205_spa_max	僕、お兄ちゃんのために頑張って戦うよ！\マーリンは、偉大な魔法使いだから、\悪いやつらは僕がみんなやっつけてあげる！\僕が、お兄ちゃんを守るんだ！
sc208_spa_1	う、そんなまさか。混浴、だと！？\目の置き場が…！
sc208_spa_2	肉体を極限にまで追い詰める苦痛…\その苦痛の先にある栄光こそが、\本当の戦士の栄光だ。
sc208_spa_3	俺の主人を名乗りたいなら、\俺と戦って勝て！\俺に勝てたら、オマエの力を\認めてやろう。
sc208_spa_max	俺は、オマエをまだ主人として\認めることはできない。\けれど、戦友としてなら認めてやる。\オマエは、俺と一緒に戦場を駆けずり回った\栄光の戦友だ！
sc209_spa_1	もし眠ってしまったら起こしてね？
sc209_spa_2	な、な、何よ今更…！？\水が熱いから気をつけろですって？\ふん！今更そんなおせっかい焼いたって…\あっ！ホントに熱い！
sc209_spa_3	あちこち口出しするのも疲れちゃうわね…\そうよね、私がそんなに気にしなくたって、\いいわよね…
sc209_spa_max	本当に、本当に、本当に！\なんでそんなにしつこいの？\一度かけ違えたボタンを、もう一度\かけようっていうの！？\それって…無駄な努力じゃない？
sc210_spa_1	魔王の体を盗み見るとは！\お前は処刑だ！
sc210_spa_2	私の話は、おとぎ話ではない！\魔界の歴史だ！
sc210_spa_3	魔王になる条件は意外と簡単だぞ。\私心なく、全ての民に公平に接すること。\そして、自分の欲望に正直になることだ。
sc210_spa_max	魔王になりたいのなら、\まず頭を下げることを学ぶのだな。\この私がお前にそうしたように…
sc214_spa_1	ふむ…悪くない。
sc214_spa_2	まったく、我が主人ながら、\契約したチャイルド一人のつま先にも\及ばないとは。\正直驚きだ。\今までよく生きてこれたものだ。
sc214_spa_3	美しい勝利などありはしない。\真の勝者とは、血だらけで\歯を剥き出しにし吠え猛る獣だけだ。
sc214_spa_4	これまで数々の戦闘をしてきたが、\発展というか、進展が全く見受けられんな。\これから先も主人の子守りをしていろとでも\言うのか？
sc214_spa_5	私のカバンに関心を持つ理由がわからんな。\早々に諦めてたと思っていたが。\見たいのであれば見せてやろう。\そのかわり、命を懸けてもらうぞ。
sc214_spa_max	あなたはいつも中途半端を貫いているな。\さぁ、決断をするのだ。\そうすれば、このジュピターの命運が尽きる\その日まで、あなたを補佐することを誓おう。
sc216_spa_1	はー気持ちいい。\帰るのやめようかなー
sc216_spa_2	可愛いニャンコちゃん、\あたしに懐いてもらいたいの～？\それならあたしを捕まえてみてよ～！
sc216_spa_3	ルールは破るためにあるんでしょ～？\チャイルドのルールは、\主人に従うことだから、\あたしは逆らうね～！
sc216_spa_4	あたしが好きなのは、気まぐれで\好奇心が強い人なんだよね。\そう考えるとニャンコちゃんは\ちょっと違うかな～\だけど、友達ならばすごく良いと思うよ～
sc216_spa_5	ここに何しに来たのかな～？わかった！\あたしがまた家出するかもと思って\心配したんでしょ？\しばらくはニャンコちゃんの傍から\離れるつもりはないから安心していいよ～
sc216_spa_max	いつか、あたしの気まぐれで\ここから居なくなる日が来るかもね～\でも、そうなったとしても仕方ないよね？\月の光と暗闇があたしを呼ぶんだから…
sc218_spa_1	しあわせ～っ…\次は契約者も連れて来ようっと…
sc218_spa_2	すっご～い！\お肌スベスベ～！\もうスキンケアしなくてもよさそうですね。
sc218_spa_3	ご主人さまも早く入って～！\あったかいから…\疲れがすぐにとれちゃいますよ～！
sc218_spa_4	ここって…なんだかご主人さまの気持ちを感じます。\だって…ご主人さまみたいにあったかいからっ！
sc218_spa_5	あったかい温泉…\ふかふかしたタオル…\もわもわした湯気…\結婚できたらダンナさんと\毎日こんな温泉に入りたいですっ！
sc218_spa_max	毎日こんな温泉に入れるなんて…\私って世界一し・あ・わ・せっ！
sc219_spa_1	熱いな…
sc219_spa_2	オレから離れろ。\優柔不断な役立たずは嫌いだ。
sc219_spa_3	笑わせるな。\何も知らんくせにこのオレを信じるだと？\オレはキサマを信じていないぞ。
sc219_spa_4	オレがキサマを主人として受け入れたのは\都合がいいからに過ぎん。
sc219_spa_5	悪魔らしく生きるのがそれほど疑問とは…\人間のマネゴトなどすぐにやめるべきだ。
sc219_spa_max	キサマが魔王になったら土下座してやる。\役立たずの主人に対する最低限の礼儀だ。
sc220_spa_1	運動の後の温泉って最高！\で、その次はまた運動！
sc220_spa_2	笑えるよね。\主人であるはずの悪魔が、\チャイルドより弱いだなんて…\最弱、ちゃんと聞いてる！？\ちょっとは、反省して！
sc220_spa_3	努力は嘘をつかないよ。\努力すれば、結局勝つからね。\最弱も体も鍛えるように努力すれば、\最低でも平均は、いけるよ！
sc220_spa_max	最弱は、チャイルドの主人なんだから\自分のチャイルドたちに、ちゃんと見本を\見せられるようにならないとね！\心配は御無用！\私が最善を尽くして手伝ってあげる。
sc221_spa_1	いつどこでも全力で楽しむこと。\戦士の基本だ。
sc221_spa_2	ふう…頭が痛いな…\なんでもない…独り言だ。
sc221_spa_3	また、耳鳴りがする…\世界に嫌われるということは、\きっとこのような感覚なのだろう…\ふっ…私らしくもないことを言ってしまった。\忘れてくれ。
sc221_spa_max	黒い悪魔よ、私の剣はお前に託した。\いつだって背中を任せられる\羅刹の剣となり未来を切り開いてくれ。
sc222_spa_1	そろそろ、飽きて来たわ…
sc222_spa_2	このエルドラド様こそ、\暗闇の中をゴミのように這いつくばっている\候補生を救済する唯一のチャイルドだ。\さぁ、私の名を讃えよ！\ははははは！
sc222_spa_3	私が貴様に力を貸した場合、\貴様は私になにをくれるのだ？\無一文だと？ふん！\その体が100体あってもたりぬぞ？
sc222_spa_4	貴様も私を計算高いと思っているのだろう？\あたっているぞ。\だから手ぶらではなにも守らん。\悪魔だろうとな。
sc222_spa_max	悪魔よ、貴様はどうしようもない\したたかな者だということを認めよ。\認めたら…私の持っている黄金を\分けてやろう。
sc223_spa_1	旅立つ前に、少し休憩ね…
sc223_spa_2	私はさすらうチャイルド。\全てを見守る傍観者。\ねえ悪魔。\あなたは私とすれ違う風景のひとつよ。
sc223_spa_3	流れる川にあらがうことなく\その身を任せなさい。
sc223_spa_4	生きることは、流れる川と\よどんだ湖みたいなものね。
sc223_spa_5	やっと川が見えたわ。\いつか別れるその日まで\この旅を楽しみましょう。
sc223_spa_max	悪魔に会えてよかったわ。\おかげで楽しい思い出ができたから。\ありがとうね。
sc225_spa_1	えーっと、女湯はどこかなー？
sc225_spa_2	ダビをなんとかしてよ！\さっきからソリを引けってうるさいんだよ！\誰か代わって！\ボクに任せっきりにしないでよー！
sc225_spa_3	あー…いっそお兄さんじゃなくて、\モナ姉さんが主人だったらよかったのに。\そしたらこの身体を張って忠誠を誓う\自信だってあるのになー
sc225_spa_4	チャイルドなら、チャイルドらしく\大人しくしろって？別にいいよ？\じっとしてるなんて簡単だよ。\戦闘中にお兄さんが死にそうだとしても、\静かーーーにしてるねー
sc225_spa_max	お兄さんは恋人もいないのー？\熱いクリスマスを共にするような恋人がさー\いないのかー、そうかー\まぁ、そういうボクも一人なんだけどね。
sc227_spa_1	なんだ？\風呂に入る時くらい、サングラスを外す…\そんなにじろじろ見るほど、物珍しいか？
sc227_spa_2	捕まえる寸前のチャイルドを\逃がしただって？\捕まえるまで諦めるな！\さあ、もう一度行ってくるんだ！
sc227_spa_3	お前の正義とは何だ？\まさか、今まで何も考えずに\生きてきたわけじゃないだろう？\…いや、その顔を見るだけでわかった。\ふうむ…
sc227_spa_4	オレの弱点が何か聞いてくるとは…\なるほど、オレに不意打ちを食らわせる\つもりか。\ふん、実に悪魔らしい卑怯さだな。
sc227_spa_5	ボスは、一体何のために\魔王を目指しているんだ？\おそらく、ボスの心を動かす正義が\あるのだろう。
sc227_spa_max	ボス。\自分のことが信じられないのならば\オレを信じろ。このマフデトが、\最後までボスの助けになる。
sc228_spa_1	ここはマダムのための空間みたいだけど…\ムッシュは入って来ちゃいけません。
sc228_spa_2	紅茶もいいけど、\たまには爽やかなカクテルが飲みたくなるわ。
sc228_spa_3	プティ、あなたにも子ども時代があったのよね？\なんの悩みもない、純真無垢な時代が。
sc228_spa_4	母はどんなに遠く離れていても母なのよ。\私の契約者も、それに気づいてくれると\いいんだけど…
sc228_spa_5	掃除は済んだの？ご飯は3食食べてるの？\アルバイトはきちんと行ったの？\洗濯物を溜め込んだりしていないでしょうね？
sc228_spa_max	心の荷物を降ろしなさい。\悩みを解決してあげることはできないけれど、\あなたの心に安らぎを与えることはできるわ。
sc229_spa_1	こ、ここは男子禁制！\という情報は聞いていませんか！？
sc229_spa_2	情報とは、とても貴重で\捨てる箇所などどこにもありません。\どんな情報でも、素晴らしい武器に\なりえます！
