// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Lost Hair	Each and every stand of this hair has spiritual traces on it.
2050294	Dainty Robe	A traditional outfit worn in a foreign country.\If you want to stand out in town, this would be a good way to do it.
2050295	Dainty Robe	A traditional outfit worn in a foreign country.\If you want to stand out in town, this would be a good way to do it.
2050313	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050314	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050315	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050323	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050324	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050325	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050343	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050344	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050345	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050363	Flower Veil	A bridal veil decorated with preserved flowers.
2050364	Flower Veil	A bridal veil decorated with preserved flowers.
2050365	Flower Veil	A bridal veil decorated with preserved flowers.
2050373	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050374	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050375	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050383	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050384	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050385	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050393	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050394	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050395	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050403	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050404	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050405	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050413	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050414	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050415	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050423	Endorsed Custom Cape	An experimental piece by a famous designer\endorsed by the celebrity, Natalis.
2050424	Endorsed Custom Cape	An experimental piece by a famous designer\endorsed by the celebrity, Natalis.
2050425	Endorsed Custom Cape	An experimental piece by a famous designer\endorsed by the celebrity, Natalis.
2050433	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050434	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050435	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050443	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050444	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050445	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050453	Dana's Miter	A miter symbolizing Dana's majesty.
2050454	Dana's Miter	A miter symbolizing Dana's majesty.
2050455	Dana's Miter	A miter symbolizing Dana's majesty.
2050473	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050474	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050475	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050483	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050484	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050485	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050493	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050494	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050495	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050503	Cain's Sash	A sash symbolizing the vows of chastity, poverty, and obedience.
2050504	Cain's Sash	A sash symbolizing the vows of chastity, poverty, and obedience.
2050505	Cain's Sash	A sash symbolizing the vows of chastity, poverty, and obedience.
2050513	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050514	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050515	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050523	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050524	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050525	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050533	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050534	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050535	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050543	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050544	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050545	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050553	Laima's Dress	An exclusive outfit for Laima that accentuates her charm.
2050554	Laima's Dress	An exclusive outfit for Laima that accentuates her charm.
2050555	Laima's Dress	An exclusive outfit for Laima that accentuates her charm.
2050563	Power Brace of Buddhism	Arm brace that gives power to exorcists who have reached enlightenment.
2050564	Power Brace of Buddhism	Arm brace that gives power to exorcists who have reached enlightenment.
2050565	Power Brace of Buddhism	Arm brace that gives power to exorcists who have reached enlightenment.
2050573	Gold Wolf Diadem	A golden circlet sold on a first-come-first-serve basis.\It boosts the wearer's confidence.
2050574	Gold Wolf Diadem	A golden circlet sold on a first-come-first-serve basis.\It boosts the wearer's confidence.
2050575	Gold Wolf Diadem	A golden circlet sold on a first-come-first-serve basis.\It boosts the wearer's confidence.
2050583	Down Jacket	White down jacket Eshu sports every day.
2050584	Down Jacket	White down jacket Eshu sports every day.
2050585	Down Jacket	White down jacket Eshu sports every day.
2050593	Moonlight Purple Lace	An outfit that doesn't cover much but provides magical protection.\It's made of an alluring sheer fabric.
2050594	Moonlight Purple Lace	An outfit that doesn't cover much but provides magical protection.\It's made of an alluring sheer fabric.
2050595	Moonlight Purple Lace	An outfit that doesn't cover much but provides magical protection.\It's made of an alluring sheer fabric.
2050603	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050604	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050605	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050613	Pakhet's Jacket	Pakhet's pink jacket.\It's great for keeping warm.
2050614	Pakhet's Jacket	Pakhet's pink jacket.\It's great for keeping warm.
2050615	Pakhet's Jacket	Pakhet's pink jacket.\It's great for keeping warm.
2050623	Lovely Cuffs	Ruffled cuffs.\Of white so pure, they accentuate one's own purity.
2050624	Lovely Cuffs	Ruffled cuffs.\Of white so pure, they accentuate one's own purity.
2050625	Lovely Cuffs	Ruffled cuffs.\Of white so pure, they accentuate one's own purity.
2050633	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050634	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050635	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050643	Comfortable Jacket	Euros's custom-made jacket.\A bigger size for a comfy fit.
2050644	Comfortable Jacket	Euros's custom-made jacket.\A bigger size for a comfy fit.
2050645	Comfortable Jacket	Euros's custom-made jacket.\A bigger size for a comfy fit.
2050653	Semele's Dress	A spotless white dress that makes its wearer\seem as pure as the snow.
2050654	Semele's Dress	A spotless white dress that makes its wearer\seem as pure as the snow.
2050655	Semele's Dress	A spotless white dress that makes its wearer\seem as pure as the snow.
2050663	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050664	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050665	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050673	Pleated Skirt	Raffles's broadcasting outfit.\It raises her charisma and highlights her charm.
2050674	Pleated Skirt	Raffles's broadcasting outfit.\It raises her charisma and highlights her charm.
2050675	Pleated Skirt	Raffles's broadcasting outfit.\It raises her charisma and highlights her charm.
2050693	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050694	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050695	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050703	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050704	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050705	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050713	Flower Headdress	A headdress that bestows courage upon Rusalka.
2050714	Flower Headdress	A headdress that bestows courage upon Rusalka.
2050715	Flower Headdress	A headdress that bestows courage upon Rusalka.
2050723	Harpy's Bikini	A custom-made outfit both gorgeous\and comfortable to move in.
2050724	Harpy's Bikini	A custom-made outfit both gorgeous\and comfortable to move in.
2050725	Harpy's Bikini	A custom-made outfit both gorgeous\and comfortable to move in.
2050733	Udumbara Wings	Strong wings as small as\udumbara flowers.
2050734	Udumbara Wings	Strong wings as small as\udumbara flowers.
2050735	Udumbara Wings	Strong wings as small as\udumbara flowers.
2050743	Amos Island's Crown	This crown is her symbol.\Her words never go unheeded.
2050744	Amos Island's Crown	This crown is her symbol.\Her words never go unheeded.
2050745	Amos Island's Crown	This crown is her symbol.\Her words never go unheeded.
2050753	DF1 Suit	A custom-tailored jacket\for protection during car races.
2050754	DF1 Suit	A custom-tailored jacket\for protection during car races.
2050755	DF1 Suit	A custom-tailored jacket\for protection during car races.
2050763	Aurora's Wings	Wings that enable escape from\even the most terrifying of nightmares.
2050764	Aurora's Wings	Wings that enable escape from\even the most terrifying of nightmares.
2050765	Aurora's Wings	Wings that enable escape from\even the most terrifying of nightmares.
2050823	Lucky Shield	The shield of Titania, the self-appointed Lucky Mascot, that wards off all bad luck.
2050824	Lucky Shield	The shield of Titania, the self-appointed Lucky Mascot, that wards off all bad luck.
2050825	Lucky Shield	The shield of Titania, the self-appointed Lucky Mascot, that wards off all bad luck.
2050833	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
2050834	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
2050835	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
2050843	Roselenta Shield	Any curse aimed at you, I'll carry it.
2050844	Roselenta Shield	Any curse aimed at you, I'll carry it.
2050845	Roselenta Shield	Any curse aimed at you, I'll carry it.
2050853	Mona's Upper Garment	An upper garment modified by Mona\for better combat use.
2050854	Mona's Upper Garment	An upper garment modified by Mona\for better combat use.
2050855	Mona's Upper Garment	An upper garment modified by Mona\for better combat use.
2050863	Mongsu Veil	A veil Arhat wears to hide her face.\She usually carries it around her waist.
2050864	Mongsu Veil	A veil Arhat wears to hide her face.\She usually carries it around her waist.
2050865	Mongsu Veil	A veil Arhat wears to hide her face.\She usually carries it around her waist.
2050883	Heels of Hard Work	She can nail any choreography.\Neptune♥'s high heels shine with the sheen of hard work.
2050884	Heels of Hard Work	She can nail any choreography.\Neptune♥'s high heels shine with the sheen of hard work.
2050885	Heels of Hard Work	She can nail any choreography.\Neptune♥'s high heels shine with the sheen of hard work.
2050893	Eve's Braces	A shield that protects the demon Eve's dignity. It's made with a special fabric.
2050894	Eve's Braces	A shield that protects the demon Eve's dignity. It's made with a special fabric.
2050895	Eve's Braces	A shield that protects the demon Eve's dignity. It's made with a special fabric.
2050903	Lovely Floppy Hat	An oversize, wide-brimmed hat\that blocks everything.
2050904	Lovely Floppy Hat	An oversize, wide-brimmed hat\that blocks everything.
2050905	Lovely Floppy Hat	An oversize, wide-brimmed hat\that blocks everything.
2050913	Yuna's Skirt	A gorgeous skirt that wraps around her,\creating a voluminous shield.
2050914	Yuna's Skirt	A gorgeous skirt that wraps around her,\creating a voluminous shield.
2050915	Yuna's Skirt	A gorgeous skirt that wraps around her,\creating a voluminous shield.
2050923	Artemisia's Uniform	A special combat uniform made to endure even a barrage of bullets.
2050924	Artemisia's Uniform	A special combat uniform made to endure even a barrage of bullets.
2050925	Artemisia's Uniform	A special combat uniform made to endure even a barrage of bullets.
2050933	Perfect Coat	Wodan's coat made from special material\to provide perfect protection during combat.
2050934	Perfect Coat	Wodan's coat made from special material\to provide perfect protection during combat.
2050935	Perfect Coat	Wodan's coat made from special material\to provide perfect protection during combat.
2050943	Lassi Sleeves	Sleeves made from special fabric\to protect arms against even the sharpest predator teeth.
2050944	Lassi Sleeves	Sleeves made from special fabric\to protect arms against even the sharpest predator teeth.
2050945	Lassi Sleeves	Sleeves made from special fabric\to protect arms against even the sharpest predator teeth.
2050953	Monster Mask	Acts as a charm that wards off evil.
2050954	Monster Mask	Acts as a charm that wards off evil.
2050955	Monster Mask	Acts as a charm that wards off evil.
2050963	Boreas's Goggles	Special goggles that block winds and the sun's rays.\They change color, depending on the light and angle.
2050964	Boreas's Goggles	Special goggles that block winds and the sun's rays.\They change color, depending on the light and angle.
2050965	Boreas's Goggles	Special goggles that block winds and the sun's rays.\They change color, depending on the light and angle.
2050973	Vampire Hunter's Coat	A vampire hunter's coat that's easy to move in\and perfect for hunting.
2050974	Vampire Hunter's Coat	A vampire hunter's coat that's easy to move in\and perfect for hunting.
2050975	Vampire Hunter's Coat	A vampire hunter's coat that's easy to move in\and perfect for hunting.
2050983	Philotes's Skirt	Philotes's skirt has a wide flare and is made with special materials.\It will guard against any attack.
2050984	Philotes's Skirt	Philotes's skirt has a wide flare and is made with special materials.\It will guard against any attack.
2050985	Philotes's Skirt	Philotes's skirt has a wide flare and is made with special materials.\It will guard against any attack.
2050993	Duetsha's Stockings	Duetsha's stockings, made with a special material.\Not even sharp blades can tear through.
2050994	Duetsha's Stockings	Duetsha's stockings, made with a special material.\Not even sharp blades can tear through.
2050995	Duetsha's Stockings	Duetsha's stockings, made with a special material.\Not even sharp blades can tear through.
3010013	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010014	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010015	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010023	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010024	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010025	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010033	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3010034	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3010035	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3020043	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020044	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020045	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020053	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020054	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020055	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020063	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020064	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020065	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020073	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3020074	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3020075	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3030083	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030084	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030085	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030093	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030094	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030095	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030103	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030104	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030105	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030113	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030114	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030115	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030123	3D Puzzle	Looks cool,\but doesn't actually help raise magic OR intelligence.
3030124	3D Puzzle	Looks cool,\but doesn't actually help raise magic OR intelligence.
3030125	3D Puzzle	Looks cool,\but doesn't actually help raise magic OR intelligence.
3040133	Four-Leaf Clover	Rumors abound,\but whether it actually brings good luck or not still needs to be tested.
3040134	Four-Leaf Clover	Rumors abound,\but whether it actually brings good luck or not still needs to be tested.
3040135	Four-Leaf Clover	Rumors abound,\but whether it actually brings good luck or not still needs to be tested.
3040143	Gold Bar	Made out of pure gold and weighing in at around 25 pounds,\it's a weapon in and of itself.
3040144	Gold Bar	Made out of pure gold and weighing in at around 25 pounds,\it's a weapon in and of itself.
3040145	Gold Bar	Made out of pure gold and weighing in at around 25 pounds,\it's a weapon in and of itself.
3040153	Key Ring	Once saved someone's life from\a stray bullet while it was in their chest pocket.
3040154	Key Ring	Once saved someone's life from\a stray bullet while it was in their chest pocket.
3040155	Key Ring	Once saved someone's life from\a stray bullet while it was in their chest pocket.
3040163	Debutant Mask	An ostentatious mask that Romeo used to hide his identity.\If Romeo pulled it off, you know it has to work.
3040164	Debutant Mask	An ostentatious mask that Romeo used to hide his identity.\If Romeo pulled it off, you know it has to work.
3040165	Debutant Mask	An ostentatious mask that Romeo used to hide his identity.\If Romeo pulled it off, you know it has to work.
3040173	Honeycomb	Obtained after chasing away the bees that made it.\Sorry about that, bees.
3040174	Honeycomb	Obtained after chasing away the bees that made it.\Sorry about that, bees.
3040175	Honeycomb	Obtained after chasing away the bees that made it.\Sorry about that, bees.
3050183	Pyramid Totem	More of a pendant than a totem.\Exudes an indescribable aura in the dead of night.
3050184	Pyramid Totem	More of a pendant than a totem.\Exudes an indescribable aura in the dead of night.
3050185	Pyramid Totem	More of a pendant than a totem.\Exudes an indescribable aura in the dead of night.
3050193	Fairy Circlet	Once worn by the queen of all fairies.\You'd think it would be lighter...
3050194	Fairy Circlet	Once worn by the queen of all fairies.\You'd think it would be lighter...
3050195	Fairy Circlet	Once worn by the queen of all fairies.\You'd think it would be lighter...
3050203	Vampire Exorcism Kit	Has a lot of value as an antique.\It’s not very useful without any vampires around.
3050204	Vampire Exorcism Kit	Has a lot of value as an antique.\It’s not very useful without any vampires around.
3050205	Vampire Exorcism Kit	Has a lot of value as an antique.\It’s not very useful without any vampires around.
3050213	Solar Music Box	Shiny, pretty, and just all-around music-y.
3050214	Solar Music Box	Shiny, pretty, and just all-around music-y.
3050215	Solar Music Box	Shiny, pretty, and just all-around music-y.
3050223	Motorcycle Helmet	Essential protection for a rider's head.\Unless, of course, that rider has a horn.
3050224	Motorcycle Helmet	Essential protection for a rider's head.\Unless, of course, that rider has a horn.
3050225	Motorcycle Helmet	Essential protection for a rider's head.\Unless, of course, that rider has a horn.
3050233	Handheld Console	Great for killing time, as long as the battery doesn't run out.\Told you to bring your charger.
3050234	Handheld Console	Great for killing time, as long as the battery doesn't run out.\Told you to bring your charger.
3050235	Handheld Console	Great for killing time, as long as the battery doesn't run out.\Told you to bring your charger.
3050243	Horse Medallion	Used to indicate great status and wealth.\Too bad it can't be used to summon ghost warriors.
3050244	Horse Medallion	Used to indicate great status and wealth.\Too bad it can't be used to summon ghost warriors.
3050245	Horse Medallion	Used to indicate great status and wealth.\Too bad it can't be used to summon ghost warriors.
3050293	Anniversary Ring #222	A commemorative ring popular among Archfiend candidates. \There's a tradition of giving high fives to demons with the same ring.
3050294	Anniversary Ring #222	A commemorative ring popular among Archfiend candidates. \There's a tradition of giving high fives to demons with the same ring.
3050295	Anniversary Ring #222	A commemorative ring popular among Archfiend candidates. \There's a tradition of giving high fives to demons with the same ring.
3050323	Maid Collar	Guaranteed not to explode,\even during a stage 1 transformation.
3050324	Maid Collar	Guaranteed not to explode,\even during a stage 1 transformation.
3050325	Maid Collar	Guaranteed not to explode,\even during a stage 1 transformation.
3050333	Moon Earrings	A pair of earrings that resemble a crescent moon.\Now you just need a matching outfit.
3050334	Moon Earrings	A pair of earrings that resemble a crescent moon.\Now you just need a matching outfit.
3050335	Moon Earrings	A pair of earrings that resemble a crescent moon.\Now you just need a matching outfit.
3050353	Alchemy Kit	A kit made to challenge the heavens.\The free A/S period is far over.
3050354	Alchemy Kit	A kit made to challenge the heavens.\The free A/S period is far over.
3050355	Alchemy Kit	A kit made to challenge the heavens.\The free A/S period is far over.
3050363	Christmas Wreath	If a demon's house is decorated with this wreath,\Santa will pass it by rather than capture the demon inside.
3050364	Christmas Wreath	If a demon's house is decorated with this wreath,\Santa will pass it by rather than capture the demon inside.
3050365	Christmas Wreath	If a demon's house is decorated with this wreath,\Santa will pass it by rather than capture the demon inside.
3050373	Chang'e's Hairpin	Made just for Chang'e after\she awakened to her full power.
3050374	Chang'e's Hairpin	Made just for Chang'e after\she awakened to her full power.
3050375	Chang'e's Hairpin	Made just for Chang'e after\she awakened to her full power.
3050403	Rage Patch	Demeter's characteristic eyepatch.\Worn to suppress her rage.
3050404	Rage Patch	Demeter's characteristic eyepatch.\Worn to suppress her rage.
3050405	Rage Patch	Demeter's characteristic eyepatch.\Worn to suppress her rage.
3050413	Bride's Ring	An heirloom handed down through generations, given to Iphis by her father.\Something curious occurs when worn.
3050414	Bride's Ring	An heirloom handed down through generations, given to Iphis by her father.\Something curious occurs when worn.
3050415	Bride's Ring	An heirloom handed down through generations, given to Iphis by her father.\Something curious occurs when worn.
3050423	Gambler's Mic	A hand-mic that's only for true gamblers. It's almost been sold off during times of financial crisis.
3050424	Gambler's Mic	A hand-mic that's only for true gamblers. It's almost been sold off during times of financial crisis.
3050425	Gambler's Mic	A hand-mic that's only for true gamblers. It's almost been sold off during times of financial crisis.
3050433	Fresh Blood Choker	A choker with a blade that cuts the wearer.\The design was Brigid's idea.
3050434	Fresh Blood Choker	A choker with a blade that cuts the wearer.\The design was Brigid's idea.
3050435	Fresh Blood Choker	A choker with a blade that cuts the wearer.\The design was Brigid's idea.
3050443	Rosary of Skulls	An ebony rosary which embodies Rita's insanity. It's based on her pactmaker's rosary.
3050444	Rosary of Skulls	An ebony rosary which embodies Rita's insanity. It's based on her pactmaker's rosary.
3050445	Rosary of Skulls	An ebony rosary which embodies Rita's insanity. It's based on her pactmaker's rosary.
3050453	Crown of Emptiness	A crown that holds curious magic power.
3050454	Crown of Emptiness	A crown that holds curious magic power.
3050455	Crown of Emptiness	A crown that holds curious magic power.
3050463	Glass Rosary	A rosary that Bathory received from a certain girl.\It overflows with their memories together.
3050464	Glass Rosary	A rosary that Bathory received from a certain girl.\It overflows with their memories together.
3050465	Glass Rosary	A rosary that Bathory received from a certain girl.\It overflows with their memories together.
3050473	Grand Prize Halo	A flower wreath awarded to the winner of the Grand Entertainment Award.\It's not known how the New Evil Flower has gotten ahold of it.
3050474	Grand Prize Halo	A flower wreath awarded to the winner of the Grand Entertainment Award.\It's not known how the New Evil Flower has gotten ahold of it.
3050475	Grand Prize Halo	A flower wreath awarded to the winner of the Grand Entertainment Award.\It's not known how the New Evil Flower has gotten ahold of it.
3050483	Popping Boots	Boots with a popping design\that help Aria perform to the best of her abilities.
3050484	Popping Boots	Boots with a popping design\that help Aria perform to the best of her abilities.
3050485	Popping Boots	Boots with a popping design\that help Aria perform to the best of her abilities.
3050493	New Year's Pouch	Does it contain hope or despair?\I prefer cash myself...
3050494	New Year's Pouch	Does it contain hope or despair?\I prefer cash myself...
3050495	New Year's Pouch	Does it contain hope or despair?\I prefer cash myself...
3050503	Dana's Pendant	A cross pendant filled with Dana's blessings.
3050504	Dana's Pendant	A cross pendant filled with Dana's blessings.
3050505	Dana's Pendant	A cross pendant filled with Dana's blessings.
3050523	Ribbon Headband	Wodan's favorite headband.\It's more for looking cute than actually holding her hair back.
3050524	Ribbon Headband	Wodan's favorite headband.\It's more for looking cute than actually holding her hair back.
3050525	Ribbon Headband	Wodan's favorite headband.\It's more for looking cute than actually holding her hair back.
3050533	Limos's Bib	Very efficient at catching donut crumbs.
3050534	Limos's Bib	Very efficient at catching donut crumbs.
3050535	Limos's Bib	Very efficient at catching donut crumbs.
3050543	Great Magister's Hat	Nine's wide-brimmed hat.\It has scars from the Dark War, as well as cat hair.
3050544	Great Magister's Hat	Nine's wide-brimmed hat.\It has scars from the Dark War, as well as cat hair.
3050545	Great Magister's Hat	Nine's wide-brimmed hat.\It has scars from the Dark War, as well as cat hair.
3050553	Cain's Censer	A censer used in holy ceremonies.
3050554	Cain's Censer	A censer used in holy ceremonies.
3050555	Cain's Censer	A censer used in holy ceremonies.
3050563	Billy's Sailor Cap	A hydro shooter's cap for use in water gun battles.\It'll stay on no matter how vigorous your movements.
3050564	Billy's Sailor Cap	A hydro shooter's cap for use in water gun battles.\It'll stay on no matter how vigorous your movements.
3050565	Billy's Sailor Cap	A hydro shooter's cap for use in water gun battles.\It'll stay on no matter how vigorous your movements.
3050573	Keino's Corsage	Keino's corsage.\It lightens her otherwise dark personality.
3050574	Keino's Corsage	Keino's corsage.\It lightens her otherwise dark personality.
3050575	Keino's Corsage	Keino's corsage.\It lightens her otherwise dark personality.
3050583	Thisbe's Jewel	A profoundly sad and blue-colored gem.
3050584	Thisbe's Jewel	A profoundly sad and blue-colored gem.
3050585	Thisbe's Jewel	A profoundly sad and blue-colored gem.
3050593	Delicate Man's Pillow	Infatuated Vincent's Pillow.
3050594	Delicate Man's Pillow	Infatuated Vincent's Pillow.
3050595	Delicate Man's Pillow	Infatuated Vincent's Pillow.
3050603	Dark Skeleton	A familiar's frightening skull.
3050604	Dark Skeleton	A familiar's frightening skull.
3050605	Dark Skeleton	A familiar's frightening skull.
3050613	Sutra Headphones	Headphones that randomly play back all of the Buddhist sutras.
3050614	Sutra Headphones	Headphones that randomly play back all of the Buddhist sutras.
3050615	Sutra Headphones	Headphones that randomly play back all of the Buddhist sutras.
3050623	Opener's Bow	A ribbon decoration for Ophois's jumpsuit.
3050624	Opener's Bow	A ribbon decoration for Ophois's jumpsuit.
3050625	Opener's Bow	A ribbon decoration for Ophois's jumpsuit.
3050633	Ski Goggles	Eshu's ski goggles.\The lens has an anti-fogging coating.
3050634	Ski Goggles	Eshu's ski goggles.\The lens has an anti-fogging coating.
3050635	Ski Goggles	Eshu's ski goggles.\The lens has an anti-fogging coating.
3050643	Moonlight Heart Choker	An attractive choker that can be worn in many different ways.\Depending on how you look at it, the accent can be on the ribbon or the heart.
