// key	CHAT_
c001_17_boss_long	じゃじゃ～ん！こんにちは、可愛いご主人さま～♥
c062_boss_short	お触りはダメよ♥
c062_ctskill	よそ見しちゃダメ！
c062_death_1	ホント酷いわ！レディに失礼でしょ？
c062_death_2	美人薄命って本当なのね…
c062_drive	もっと虜にしてあげる♥
c062_hit_1	きゃあ！
c062_hit_2	うぐっ！
c062_hit_3	顔はやめて～！
c062_prskill	惚れちゃった？
c062_skill	甘くなるほど危険なのよ？
c062_spa	ふふふ、もしかして覗きたいの？私くらい可愛かったら当然よね♥
c062_startbt	哀れなミツバチが集まって来たわ。
c062_story1	…ホント鈍いんだから。
c062_story2	えっ？ホント！？うん！とっても観たかったの！\悪魔くん、ありがとう！
c062_story3	あのね、悪魔くん！私、本当に大好きなの！
c062_true1	私だけ見て！この世で一番可愛いこの私を！
c062_true2	他の誰とも比べないで。この世で一番可愛いって言って。
c062_true3	悪魔くん、知ってる？悪魔くんもすっごく魅力的だってこと……うふふ。\エウロペが好きなのは、美少年だけじゃない……かもよ？
c062_victory	デート楽しかったわ！
c063_boss_long	こ、怖い、けど…頑張って、戦い、ます。
c063_boss_short	こ、怖い…
c063_ctskill	私の声が聞こえますか？
c063_death_1	うっ……ううっ……うわあん！
c063_death_2	まだ…手紙…渡せてない、のに…
c063_drive	悪魔さんのためなら！
c063_hit_1	っ…！
c063_hit_2	い、いた、い…です。
c063_hit_3	きゃあっ！
c063_prskill	今度こそ、絶対…
c063_skill	こっちを見て。
c063_spa	ふぅ…\あ…悪魔さん…だ。\日記、持ってくればよかった…
c063_startbt	悪魔さんが、私を呼んでくれるなんて…
c063_story1	あの…見守って、いたんです。
c063_story2	……悪魔さんの……おごりで……ケーキ……
c063_story3	今度こそ……この手紙を……
c063_true1	いくら、ぼんやりしてても悪魔なんですよね…\うう、怖いよ…
c063_true2	悪魔さん…どこ見てるんだろ…\一緒に見たい…な…
c063_true3	悪魔さん…いつも、見守っていますから、ね…\だから…いつか、悪魔さんも私を…
c063_victory	ふふ…悪魔さん、喜んでくれる…かなあ？
c064_88_boss_long	メデューサ、いい名前でしょ？
c064_88_boss_short	真の勝者は、いつも静かなはず。
c064_88_bubble_prskill	存在するだけで畏怖される者、それが私。
c064_88_bubble_skill	当然！
c064_88_ctskill	油断禁物よ！
c064_88_death_1	はぁ…
c064_88_death_2	ありがとう。
c064_88_drive	私の名前をよ～く噛み締めて聞くように。
c064_88_hit_1	えっ！？
c064_88_hit_2	侮辱しているの？
c064_88_hit_3	へぇ～
c064_88_hit_4	いいわ。
c064_88_hit_5	なぁに？
c064_88_hit_6	うっふふ。
c064_88_hit_7	仕方ないでしょう。
c064_88_hit_8	さすが…
c064_88_hit_9	いい加減にして。
c064_88_prskill	存在するだけで畏怖される者、それが私。
c064_88_skill	当然！
c064_89_boss_long	メデューサ、いい名前でしょ？
c064_89_boss_short	真の勝者は、いつも静かなはず。
c064_89_bubble_prskill	存在するだけで畏怖される者、それが私。
c064_89_bubble_skill	当然！
c064_89_ctskill	油断禁物よ！
c064_89_death_1	はぁ…
c064_89_death_2	ありがとう。
c064_89_drive	私の名前をよ～く噛み締めて聞くように。
c064_89_hit_1	えっ！？
c064_89_hit_2	侮辱しているの？
c064_89_hit_3	へぇ～
c064_89_hit_4	いいわ。
c064_89_hit_5	なぁに？
c064_89_hit_6	うっふふ。
c064_89_hit_7	仕方ないでしょう。
c064_89_hit_8	さすが…
c064_89_hit_9	いい加減にして。
c064_89_prskill	存在するだけで畏怖される者、それが私。
c064_89_skill	当然！
c064_boss_long	忘れられない思い出にしてあげる。
c064_boss_short	で、私に会えた感想は？
c064_ctskill	油断禁物よ！
c064_death_1	私の邪魔をするな！
c064_death_2	ぐっ…あっ…
c064_drive	私が誰だか教えてあげる。
c064_hit_1	くっ！
c064_hit_2	くはっ！
c064_hit_3	そんな…！
c064_prskill	弱者は消えなさい！
c064_skill	私を止める気？
c064_spa	剣の研ぎ方を知らない愚かな剣士は\絶対に勝つことなんてできないわ。
c064_startbt	逃げるなら今のうちよ。
c064_story1	そこにいるだけで、畏怖される者。\そんな存在を目指しているわ。
c064_story2	サキュバスに振り回される悪魔なんて貴方ぐらいよ。私は違う。あんな女に振り回されないわ。
c064_story3	どう転んでも私は魔王になれないわ。\だから私は、自分のやり方でこの世に君臨するの。
c064_true1	蛇を手懐けるのは簡単よ。でも主が弱ければ\すぐに食べられてしまうかも…\うふっ…気を付けなさい、悪魔さん。
c064_true2	魔王になりたいなら、天にでも祈ることね。\だって意志がないなら運にすがるしかないでしょう。
c064_true3	非の打ちどころのない勝利。絶対的な征服。\それらを成し遂げてこその、名声よ。
c064_victory	私の名を忘れないことね。
c065_boss_long	まさか、レディを相手に戦うつもりかしら？
c065_boss_short	仕方ないわね。
c065_ctskill	まだまだお子様ねえ。
c065_death_1	ダメよ？もっと優しくしてくれなきゃ。
c065_death_2	レディの扱いを知らないようね。
c065_drive	名残惜しいけど、お別れの時間よ。
c065_hit_1	きゃっ！
c065_hit_2	あんっ！
c065_hit_3	いけない子ね。
c065_prskill	優しくしてあげるわ。
c065_skill	うふふ。
c065_spa	ふう…\ふふ、坊やも一緒にどう？
c065_startbt	永遠に忘れられない香りはいかが？
c065_story1	男を誘うにはね、香りが必要なの。\一度嗅いだら忘れられない、極上の香り。
c065_story2	あら、子ども扱いされたから拗ねてたの？\大人になるには、まだまだねえ～
c065_story3	…まさか、坊やにあんなことを言われるなんて。\いつまでも子供じゃないのね…
c065_true1	私の香りに酔いしれなさい。
c065_true2	坊やなら、\私も知らない愛を教えてくれるかしら。
c065_true3	ふふ、可愛い坊や。\拗ねていないで私を見てちょうだい？\いっぱい、愛してあげるから。
c065_victory	ふふ、おめでとう、坊や♥\ご褒美をあげようかしら。
c066_boss_long	力での戦いは俺の本分ではないが…致し方ないな。
c066_boss_short	俺が相手になろう
c066_ctskill	予想通りだ。
c066_death_1	少々、予想を上回ったな…
c066_death_2	まさか、この俺が…
c066_drive	チェックメイトだ！
c066_hit_1	ほう。
c066_hit_2	こんなものか？
c066_hit_3	計算のし直しだ…
c066_prskill	つまらんな。
c066_skill	こういったことは、俺の得意分野ではない。
c066_spa	この姿は…少々、無防備すぎないか…？
c066_startbt	俺の計画通りに動いてもらおうか。
c066_story1	尻尾を上手く隠せ。\お前のように尻尾が長い奴は特に気を付けるべきだ。
c066_story2	暴力でねじ伏せるなら、なす術はない。\やりたいようにすればいい。楽しみにしているよ。
c066_story3	悪いが、俺は元からこういう性格だ。\人間だった頃は、笑顔でカモフラージュしていたが。
c066_true1	本音は隠せ、顔に出すな。強くなりたいのなら…な。
c066_true2	直接手を下すのは、参謀である俺の役目ではない。
c066_true3	難しい勝負だな。チェックメイトまでの道筋は見えているが、お前がどれだけ策略通りに踊ってくれるか…すべてはそこにかかっている。
c066_victory	帰還した。
c067_boss_long	退屈な人生の幕引きを務めさせていただこう。
c067_boss_short	せめて楽に死なせてやろう。
c067_ctskill	最期の時を受け容れよ。
c067_death_1	死の匂いがいちだんと濃くなっているのを感じる。
c067_death_2	なるほど…これが、我の待ち望んだものか…
c067_drive	私と共に行こう。
c067_hit_1	うっ…
c067_hit_2	ぐはっ…
c067_hit_3	ぐふっ…
c067_prskill	もう休むとしよう。
c067_skill	悪あがきを…
c067_spa	しばし死を忘れるのもよかろう。
c067_startbt	緩慢なる死へ向かおう。
c067_story1	我と共にあの世に行かぬか…？
c067_story2	死こそ唯一の希望…\生命に対する唯一の祝福…
c067_story3	お前達が歩む先で死にゆくすべての者たちを祝福しよう。
c067_true1	いつになったら死は訪れるのか…時間を持て余さねばならぬ。
c067_true2	死を恐れるな。それは約束されし安らぎであり、祝福なのだから。
c067_true3	どうせ生きるなら寸暇を惜しんで生きろ。怠惰な人生でも死は矢のごとく近づいてくる。
c067_victory	また死が私を避けて行った。
c068_boss_long	お腹いっぱい食べちゃうのだ！
c068_boss_short	ケーキ、好き？
c068_ctskill	召し上がれ！
c068_death_1	ふえええん！\まだデザートがたくさんあるのにー！
c068_death_2	うわ～～～～ん！
c068_drive	とろけるでしょ？
c068_hit_1	きゃあっ！
c068_hit_2	うわっ～
c068_hit_3	おおっ！
c068_prskill	デザート完成！
c068_skill	甘酸っぱーい！
c068_spa	お風呂上りは…\「アムブロシア特製シェイク」なのだ！
c068_startbt	デザートターイム！
c068_story1	えっへん！\悪魔くんのために、お菓子を作ったのだー！
c068_story2	悪魔くん、早く食べてみて！\悪魔くんが帰って来るの、待ってたんだよ？
c068_story3	初めて作ったんだ。\口に合うといいんだけど…
c068_true1	悪魔くん、食べたいモノがあったら言ってね！\なんでも作ってあげるのだ！
c068_true2	ま、まさか…わたしの料理って不味いの？\悪魔くんのために、頑張って作ったんだけど…
c068_true3	わたしね…悪魔くんのために\これからもずっと、お菓子を作ってあげたいんだ…
c068_victory	勝利を祝ってケーキでも焼こうかな！
c069_boss_long	どこから手を付けようか。
c069_boss_short	面倒だな。
c069_ctskill	ダメダメだな！
c069_death_1	ネジが…とれたみたいだ…
c069_death_2	ぐは～～～っ！
c069_drive	ふざけるな！
c069_hit_1	ぐっ！
c069_hit_2	ぬはっ！
c069_hit_3	うぐっ！
c069_prskill	俺が直してやるよ！
c069_skill	ハハッ！
c069_spa	こんな所で会うなんて。
c069_startbt	どいつから片づけようか。
c069_story1	俺の契約者は何をもってコイツと契約したんだか…
c069_story2	オマエさ、リーダーらしくしてみろよ。
c069_story3	力以外必要ない。力だけで世界を\変えられるということを…オマエが証明してみろ。
c069_true1	しっかりしろ！\オマエみたいな才能のないヤツは根性で耐えるんだ！
c069_true2	言われた通りにしろ。魔王は難しくても\それに近いところまでならなんとかなるから。
c069_true3	オマエは俺の願いを聞いてくれそうな\気がする。だからよろしくな、マスター。
c069_victory	最初から大人しくしてろ。
c072_boss_long	厳しい戦いになるだろう。
c072_boss_short	オレに勝ってみろ。
c072_ctskill	もっと強く！
c072_death_1	少年よ、すまない…
c072_death_2	ぐは～～っ…
c072_drive	引き裂いてやる。
c072_hit_1	くぅっ！
c072_hit_2	ぐはっ
c072_hit_3	ぬぐおっ！
c072_prskill	オレを信じろ！
c072_skill	恐れるな少年よ！
c072_spa	気を緩めてはいけない…
c072_startbt	もう誰も苦しめない。
c072_story1	お前は弱そうだな少年よ。\故にオレが守ってやろう。
c072_story2	キャンディとチョコ、どっちがより優れた食べ物なのだ？
c072_story3	キサマには…傷ついてほしくない。
c072_true1	オレの後ろに下がっていろ、少年。
c072_true2	弱さを突き付けられて、悔しいのか？
c072_true3	キサマを煩わしいと思ったことなど一度もない。\そのようなつまらぬこと、二度と口にするな。
c072_victory	最後まで守ってやる。
c073_boss_long	どうして私を見つけたの？\私なんて相手にしても退屈なのに…
c073_boss_short	あまり期待しないで…
c073_ctskill	私の前から消えて！
c073_death_1	もう、戦わなくていいのね…
c073_death_2	うっ…うぅ～…
c073_drive	もう、終わりにしましょう！
c073_hit_1	痛い！
c073_hit_2	あっ…
c073_hit_3	ひいっ…
c073_prskill	ダメよ…！
c073_skill	空しい…
c073_spa	ここは…大丈夫そう…
c073_startbt	空しい戦いが始まるのね…
c073_story1	あなたには、必ず魔王になってほしい。\そうしたら、私も今よりもっと…\幸せになれるから。
c073_story2	…サロメ、毎日ダンスを踊るのね。\どうして、そんなに…頑張るの？\自分に満足できないくせに…\どうしてそんなにダンスにこだわるの？
c073_story3	…どうしてそんなことを探さなきゃいけないの？\どうせ、みんな死ぬのに…
c073_true1	私が、望むことが何かって？\あっ…考えたこともない。
c073_true2	生きるのは、苦痛だ…\こんな人生を生きるくらいなら…\いっそ生まれなければ…\良かったのに。
c073_true3	私…\本当は幸せになりたい…\でも、それって叶わない？
c073_victory	勝っちゃった…
c074_boss_long	戦いは苦手だけど…いいわ、相手になってあげる！
c074_boss_short	正々堂々と！おーっ！！
c074_ctskill	全力で行きまーす！
c074_death_1	…最後まで…頑張って…！
c074_death_2	応援…足りなかったのかな…
c074_drive	もう疲れちゃったの！？
c074_hit_1	ひどーい！！
c074_hit_2	きゃっ…！
c074_hit_3	キャー
c074_prskill	もっと力強く！
c074_skill	やあーっ！
c074_spa	気持ちいいって言ったのに、\こんなの熱いだけじゃない！ウソつきー！
c074_startbt	張り切って行きましょー！
c074_story1	朝も昼も夜も…四六時中…悪魔のお兄さんを\応援しちゃうんです！\やったー！ステキな毎日が始まりますよー！
c074_story2	お兄さん、お兄さん、悪魔のお兄さん！！\朝ですよー！\早く起きて―！ファイト！おーっ！！
c074_story3	モナさん！あたしの気持ちを受け取ってください！\一生ついて行きますから！きゃあ、言っちゃったー！
c074_true1	あのね、善意からの行動が、必ず良い結果に繋がるとは限らないの。\…って、こんなセリフ、あたしに似合わないかな！
c074_true2	悪魔のお兄さんなら、きっと大丈夫！\いつか輝ける日が来るはずです！
c074_true3	悪魔のお兄さん、あたしの応援で元気になれた？\役に立てたんなら、嬉しいな。\モナさんも、お兄さんも、幸せになってね！
c074_victory	悪魔のお兄さん。あたし、役に立てたかな？
c082_boss_long	ここでお目にかかるとは思いませんでした。
c082_boss_short	僕の直感、鈍ってないようですね。
c082_ctskill	運が向いてきました！
c082_death_1	ああ、やっぱり……気のせいだったのか…
c082_death_2	直感通りです…今までで一番の不運…
c082_drive	目の前から消えてください！
c082_hit_1	あっ！
c082_hit_2	これくらい…っ
c082_hit_3	痛みは慣れっこです
c082_prskill	僕の直感が通じるかわかりませんが！
c082_skill	お相手しましょう！
c082_spa	よ、予想外だ……ひとりで入るものだとばかり……
c082_startbt	予感はしてました。はは、気のせいでしょうけど。
c082_story1	必要なら呼んでください。いつでも駆けつけます。
c082_story2	あの妙な関係には、どう歩み寄ればいいか分からないな……
c082_story3	僕はご主人様が思っているより、この暮らしが気に入ってます。
c082_true1	思えば、運がないことも避けられない運命かもしれません。
c082_true2	流されるままに生きていればいつかは僕にも……
c082_true3	僕の能力でどこまで役に立てるかわかりません。\まあ、頑張りますけど…がっかりしてませんよね？\…気のせいかな？
c082_victory	珍しく、不運ではなかったみたいですね…
c083_boss_long	何をためらってるんだ？さっさと始めようぜ！
c083_boss_short	待たせやがって！
c083_ctskill	BANG！
c083_death_1	うう…くっそー、悔しい！
c083_death_2	パパ…役に立たない娘でごめんな…
c083_drive	花火を見せてやろうか！？
c083_hit_1	チイッ！
c083_hit_2	痛くも痒くもねぇ
c083_hit_3	ヒャヒャヒャ！
c083_prskill	オラオラオラァ～！！
c083_skill	これはどうだ？
c083_spa	パパ、何考えてんだよ？顔、赤いぞ？
c083_startbt	かかって来いよ！！
c083_story1	へぇ。その言い方、本当にパパみたいだな。
c083_story2	…わかった。今回はパパの言うとおりイイ子にしといてやるよ。
c083_story3	だから、オレが守ってやらないとダメなんだ。
c083_true1	望み？そんなのチマチマ考えてられるか。そん時、やりたいようにやるさ！
c083_true2	絶対勝ってやる。だから、オレに力をくれ！
c083_true3	心配するなって、パパ。オレがちゃんと親孝行してやるから！\こう見えて、親思いの娘なんだぜ！ヒャハハ！
c083_victory	やっぱ戦いには勝ってナンボだな。
c086_boss_long	新鮮な素材が届いたみたいです！
c086_boss_short	いっぱい食べてくださいね！
c086_ctskill	辛いのはいかがですか？
c086_death_1	真心が足りませんでした…はあ…
c086_death_2	悪魔様…
c086_drive	メインディッシュ！
c086_hit_1	きゃっ！
c086_hit_2	お、怒ってますか…？
c086_hit_3	ひどいです…
c086_prskill	真心込めます！
c086_skill	甘酸っぱい味ですよー
c086_spa	いっただきまーす！がぶ。
c086_startbt	レッツ・クッキングです！
c086_story1	それでは、私の愛にあふれた料理をお召し上がりくださーい！
c086_story2	悪魔様、悪魔様、新しい料理を作ってみましたよ！
c086_story3	愛しの悪魔様！\ゴガの愛をたっぷり込めて作った、愛のフルコースです！
c086_true1	くぼんだ目、荒れた肌、小さい背…！\悪魔様は栄養不足です！
c086_true2	私は悪魔様が美味そうに食べる姿を見ているだけで\お腹がいっぱいですー
c086_true3	絶対に忘れられない料理を味わわせてあげましょう！私の想いをたっぷり込めた、愛の料理です！\うふふっ。
c086_victory	デザートは何になさいますか？
c090_boss_long	私の部屋を汚すとは…
c090_boss_short	思い知るがいい。
c090_ctskill	間抜けめ。
c090_death_1	絶対に許さん…！
c090_death_2	諦めんぞ…絶対に…！
c090_drive	後悔させてやろう。
c090_hit_1	くっ！
c090_hit_2	貴様…！
c090_hit_3	舐めるな！
c090_prskill	頭が高い！
c090_skill	ふっ！
c090_spa	何をしている？こっちに来ないのか？
c090_startbt	その生意気な性格を矯正してやろう。
c090_story1	生意気を言うな！\そもそも平民のくせに主人を名乗ろうというのが、おこがましいのだ。
c090_story2	そうだ、戦え。絶対に諦めるな。\それでこそ私の契約者に相応しい。
c090_story3	我ながら妙な気分だが、\アイツのお節介が、煩わしくて仕方がない。
c090_true1	本当に使えないな、お前は！
c090_true2	そんな体たらくでどうする？\魔王になるからには\それ相応の覚悟を見せろ！
c090_true3	悪魔よ、私を失望させてくれるなよ。\このヴァルカン様に相応しい主人となれ！
c090_victory	勝利の凱歌を歌うがいい！
c091_boss_long	命を懸けて、お守りします。
c091_boss_short	ここは私にお任せください。
c091_ctskill	油断は禁物ですよ！
c091_death_1	せ、戦略的後退です…
c091_death_2	ううっ…
c091_drive	これで決着をつけましょう。
c091_hit_1	くっ…！
c091_hit_2	うっ！
c091_hit_3	この程度ですか？
c091_prskill	全滅させましょう。
c091_skill	はぁ～っ！
c091_spa	はぁ…こんなにのんびりしたのは久しぶりです…
c091_startbt	作戦を開始します。
c091_story1	御主人様のことが心配でたまらないのです。
c091_story2	体を鍛えるのは軍人として当然の義務です。\いつでも戦える状態にあることが理想ですから。
c091_story3	ヴァルカン様はどうやら私のことを\快く思っていらっしゃらないようです。
c091_true1	私は御主人様のお役に立てているのでしょうか…
c091_true2	御主人様のために戦う覚悟はできています。\しかしご自分の身はご自分で守るしかない\ということをお忘れにならないでください。
c091_true3	私の役目は御主人様をお守りすることです。\御主人様の戦いは私の戦いでもあるのです。
c091_victory	お見事な戦いぶりでした。
c095_boss_long	私の辞書に敗北の文字はない！
c095_boss_short	勝つのは私よ！
c095_ctskill	やっとこの程度？
c095_death_1	もっと…強い拳が必要…
c095_death_2	まだ、届かないの…？
c095_drive	一撃必殺！
c095_hit_1	ううっ…
c095_hit_2	くっ！
c095_hit_3	チッ！
c095_prskill	興奮するでしょ？
c095_skill	行くよ！
c095_spa	うーん、体が溶けてくカンジ…
c095_startbt	私を甘く見ないで！
c095_story1	でも…師匠をいじめたヤツら、許さない！
c095_story2	自信を持って！
c095_story3	ありがとう、師匠！一生懸命、戦うよ。
c095_true1	勝たなきゃ意味ない。
c095_true2	師匠に勝ったら…私は一番になるのよね？
c095_true3	師匠と一緒ならどんな敵でも恐れはしない！\速攻で決めるから、師匠も手を貸して！
c095_victory	さ、次は誰？
c099_boss_long	へヴィメタの世界へようこそー！
c099_boss_short	Come on！イェイイェー！
c099_ctskill	叫べーーーっ！！
c099_death_1	ロック魂は…不滅っ！
c099_death_2	偽物のメタルには…死を…
c099_drive	ピックスクラッチ！
c099_hit_1	くうっ！
c099_hit_2	チッ！
c099_hit_3	かはっ！
c099_prskill	トレモロ！
c099_skill	イェイイェーー！！
c099_spa	のんびり温泉なんかよ……ロックぽくないじゃん！
c099_startbt	Are you ready！？
c099_story1	悪魔の部屋を、ロック魂で埋めつくせ！イェイ！
c099_story2	気に入ったぜ、悪魔！あんたのために\ウチが作った最高の曲を聞かせてやんよ！
c099_story3	シャウトは怒り！ロックは怒り！てめーの怒りを吐き出してみろ！
c099_true1	ロックへの情熱が足りないぜっ！\このボンヤリした無気力な悪魔め！
c099_true2	悪魔よっ！ウチにインスピレーションをっ！！\…ってクソの役にも立たなそうだな…
c099_true3	悪魔にふさわしい激しいサウンドを聞かせてやん\よっ！だからさっさと魔王になりな！
c099_victory	Come on！ロックンロールベイベー！
c101_boss_long	明るい笑顔が咲き誇りますように…
c101_boss_short	笑ってください。
c101_ctskill	みんなが笑顔になれるように…
c101_death_1	しくしく…ひどいです。
c101_death_2	救いはないんでしょうか…？
c101_drive	この痛みは報いです。
c101_hit_1	いたっ！
c101_hit_2	やめてくださいっ。
c101_hit_3	イジメないでっ！
c101_prskill	反省しなさい！
c101_skill	優しい世界のためです！
c101_spa	あちち！
c101_startbt	優しくはあれど、弱いつもりはありませんから。
c101_story1	…優しくないです。やっぱり悪魔…
c101_story2	…わたし、わかったんです。\悪魔さん、あなたは…優しい人です。
c101_story3	そんなあなたのお手伝いができて、本当に良かったと思っていますよ。優しい悪魔さん。
c101_true1	心優しく温かい人になりたい。
c101_true2	わたしを愛してください。もっといい子になりますから…。
c101_true3	悪魔さんを信じます。だから…わたしをがっかりさせないでください。優しい悪魔さんと、わたしとの約束です。
c101_victory	みんなの笑顔を守れました。
c106_boss_long	裏切りは絶対に許さない！
c106_boss_short	裏切り者！
c106_ctskill	私を甘く見てます？
c106_death_1	許しません！
c106_death_2	覚えてなさい…
c106_drive	覚悟しなさい！
c106_hit_1	キャッ！
c106_hit_2	痛いです！
c106_hit_3	ワトソン！
c106_prskill	…裏切りの対価は死よ。
c106_skill	ふん！
c106_spa	こんなところに連れてきてもらえるなんて…\少しは悪魔さんを信じてあげようかしら？
c106_startbt	…ようやく復讐の機会が来たわ。
c106_story1	聞こえる？ワトソン。この風の声…\まるで空が私達の愛を祝福してるみたい！
c106_story2	ああ、どうして悪魔さんはお金持ちじゃないんでしょう？
c106_story3	悪魔さん！悪魔さん！\新しい人形、買ってくれますよね！？ね！？
c106_true1	私の友達、ワトソンを紹介しますね。\こう見えて、心優しい美少女なんですよ？
c106_true2	私のいうことを聞けないなら地球の果てまで…\いえ、魔界の果てまで追いかけて復讐してあげます！
c106_true3	そろそろ新しい人形が欲しいな…\あ！ちょうど目の前に良さげな人形がありました！
c106_victory	お疲れ様、ワトソン…あ、悪魔さんもね。
c107_boss_long	我が存在、すなわち、ギルティー！
c107_boss_short	マーベラス！
c107_ctskill	この感動を貴方に…！
c107_death_1	徹底した無視と冷遇…\なんと刺激的な！
c107_death_2	ファビュラス…！
c107_drive	アディオス、アモール！
c107_hit_1	オー、ララー！
c107_hit_2	ああっ…！
c107_hit_3	ぬはーっはは！
c107_prskill	衝撃！興奮！そして刺激…！
c107_skill	トレビアーン！
c107_spa	トレビアーン！この上ない幸せ…
c107_startbt	新しい人生、新しい光、夢にまでみた…\新天地！
c107_story1	もう少し刺激が必要です。
c107_story2	ウィー、今から光合成を試してみます！
c107_story3	あぁ、この美しい世の中よ…！
c107_true1	見よ！絢爛に光輝く\この美しい花びらを…！
c107_true2	ああ！私の心を奪う\より美しい刺激を！
c107_true3	ついに！新世界に向かう扉が開かれた！\我がゴッドファーザー！\尊い洗礼で我を目覚めさせたこの恩、\この身で返そう！
c107_victory	絢爛に光り輝く\ヒマワリの花びらよ！
c110_boss_long	もう勝負はついたんじゃないか？
c110_boss_short	俺の勝ちだな。
c110_ctskill	まだまだァッ！
c110_death_1	運が良かったな…
c110_death_2	ジヴァ～ッ！！
c110_drive	一発で十分だ！
c110_hit_1	こいつ！
c110_hit_2	うぐっ！
c110_hit_3	やるじゃないか～！
c110_prskill	ちゃんと歯を食いしばっておけよ～！
c110_skill	耐えられるかな～？
c110_spa	な～に見てるんだ？\おかしなことしてないで、さっさと消えろ！
c110_startbt	準備完了ってな～！
c110_story1	ジヴァを守れるのは俺しかいない！\そうだろう、女王様？
c110_story2	ダメに決まってんだろ！\俺にとって、ジヴァは女王であり、魔王であり\神でもあり…\と～にかく！この世で一番なんだ！
c110_story3	そそっかしいし、いつも変な失敗ばっかりするし…\俺がいなければ何もできない女だけど…
c110_true1	生意気なヤツめ！\誰に向かって指図してんだ～？\ほ～？\俺と勝負したいって言うんだな？
c110_true2	う～わぁ～っ！！\ケンカしたくて体がムズムズする！\…でも、ジヴァが望むのならしょうがないから\我慢してやる！
c110_true3	ジヴァを魔王にする計画も、水の泡になったからな。\争奪戦が終わったら、2人どこか暖かいところ\にでも、旅行に行くか～！
c110_victory	俺の敵じゃなかったな～
c112_boss_long	オマエの行くべき所を教えてやる。
c112_boss_short	真理を知っているか？
c112_ctskill	もう騙されん！
c112_death_1	また、か…
c112_death_2	私の選択は間違っていたのか…？
c112_drive	自分の居場所に戻れ！
c112_hit_1	くっ…！
c112_hit_2	チッ！
c112_hit_3	やるなっ！
c112_prskill	どっちが正しいか試してみるか？
c112_skill	つまらん。
c112_spa	たかが温泉でオマエに心を開いたと\思うな…大きな…誤算だ…
c112_startbt	混乱を鎮める。
c112_story1	くだらん。俺が悪魔の仲間だと？
c112_story2	「俺は俺」、か…\オマエの言う通りなら、一番俺らしく生きるのが正解だな。
c112_story3	…いいだろう。信じてやる。\なら、これからも…よ、よろしく、た、頼む。
c112_true1	くだらないお世辞に騙されると思ったら\大間違いだ。悪魔など絶対に信じない。
c112_true2	悪魔は悪魔。どんなに優しそうな顔をしていても\その本性は混乱と破壊を好む。そうだろう？
c112_true3	なぜ俺の契約者は悪魔なんかに力を借りた？\結局は力がすべてを制するというわけか。
c112_victory	光が見える。微かだが、確かな光が…
c115_boss_long	すごく退屈な演奏になると思うけど…大丈夫？
c115_boss_short	退屈な演奏、好き？
c115_ctskill	これが私の悲しみ。
c115_death_1	やっぱり私には、悲しい最後がお似合い…
c115_death_2	きゃ～～～
c115_drive	マルテレ！
c115_hit_1	ああっ…
c115_hit_2	うっ！
c115_hit_3	キャッ…
c115_prskill	ビブラート！
c115_skill	泣かせてあげる。
c115_spa	温泉タイムも…空しいだけ…
c115_startbt	みんな不幸になっちゃえ。
c115_story1	早死にした上に、悪魔と出会ってこんな目に…
c115_story2	わたし死んだの♬まだ若いのに♬
c115_story3	バカなご主人様。これからも悲しませてあげる♪
c115_true1	この世は悲しみに満ちている…\希望なんて、もういらない…
c115_true2	悪魔…あんたは絶対に私の悲しみを晴らせない…
c115_true3	悲しみも時には慰めになるわ。\どういう意味か、すぐに分かるはずよ。
c115_victory	レクイエムを奏でてあげる…
c117_boss_long	あなたの闇と私の闇、どちらが深いでしょうね？
c117_boss_short	より深い闇が勝つでしょう。
c117_ctskill	感じますか？この闇を。
c117_death_1	よかった…ほうきは無事ね…
c117_death_2	あぁ～～！！
c117_drive	久遠の炎で燃やして差し上げましょう！
c117_hit_1	うっ！
c117_hit_2	いやっ！
c117_hit_3	ほうきが…
c117_prskill	呪いましょう！
c117_skill	抵抗は無意味です。
c117_spa	二度と曇らない呪文とか…ないのかしら…
c117_startbt	聞こえますか？魔界の果てから響いてきます！
c117_story1	私のほうきに触れるとは！
c117_story2	あれだけ悪魔を嫌っておきながら…その悪魔の力を借りてるなんて。
c117_story3	私が…悪魔らしい…？
c117_true1	悪魔だったとしても、関係ありません。力さえ得られれば。
c117_true2	悪魔なら悪魔らしく、もっと利己的に行動されては？
c117_true3	あなたのような悪魔は初めてです。\本当…馴染めない…\さぁ、今日は一体どんな姿を見せてくれるのですか？
c117_victory	悪魔の力…やはり魅力的ですね。
c120_boss_long	ケンカはヤダけど…仕方ないもん。
c120_boss_short	一緒に遊ぼぉ。
c120_ctskill	ご、ごめんねぇ！
c120_death_1	もう戦いたくないよぉ。うへぇぇ～～ん！
c120_death_2	うぐ～～っ。
c120_drive	幸せになぁ～れ！
c120_hit_1	きゃあ！
c120_hit_2	ああっ！
c120_hit_3	いや～んっ！
c120_prskill	フローラのお歌聴いてぇ。
c120_skill	優しくねぇ…
c120_spa	幸せなのぉ…
c120_startbt	ケンカは嫌いなのぉ…
c120_story1	花輪をつけてあげるねぇ。
c120_story2	…お兄ちゃん、どうして怒ってるのぉ？\フローラ、ケンカ嫌ぁ。
c120_story3	えへへ…みんな幸せになあれ。
c120_true1	お花さんを咲かせるねぇ。\そうしたら、寂しくないよぉ？
