// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc156_spa_5	Il semblerait que tu essaies de m'éviter. As-tu peur de moi ? Être évitée ainsi provoque en moi un sentiment de solitude.
sc156_spa_max	Les ténèbres ne me quittent jamais. Toutefois, ça signifie que j'attendrai toujours à tes côtés.
sc158_spa_1	Je devrais continuer à chercher un beau gosse, mais ces sources chaudes me plaisent bien aussi.
sc158_spa_2	Ouah ! Cet endroit grouille de beaux étalons ! Je suis au paradis, démon !
sc158_spa_3	J'ai trouvé un beau gosse qui est tout à fait mon genre. Peut-être que je vais l'inviter à me rejoindre dans l'eau... Une petite minute. Je crois que c'est un démon. Ce n'est pas un problème, si ?
sc158_spa_4	Je dois te remercier, démon. Devenir ton Child m'a donné le courage de chercher l'amour. Maintenant, je n'ai plus qu'à me trouver un rencard !
sc158_spa_5	Démon ! Il ne va rien se passer si tu restes là, les bras croisés. Viens avec moi, je vais te montrer comment faire !
sc158_spa_max	Je n'ai jamais vu moins perspicace que toi. Bon, tu ne me laisses pas le choix. Ce n'est pas en attendant patiemment que je vais trouver l'amour !
sc159_spa_1	La ferme. Rien n'a de sens,\à part la parole de Loki.
sc159_spa_2	Ooh, c'est quoi, ça ?\Je vois bien que quelque chose se prépare ici. \Je suis très occupée.
sc159_spa_3	C'est un peu comme dans "Trois visites à la chaumière"\ou "Le vent du nord et le soleil", hein ?\Tu fais exprès d'être sympa avec moi, ça se voit.\Oh oh, trop chou. Ça me déplaît pas, comme approche.\Enfin, tu te comportes en vrai démon.
sc159_spa_4	Mon tout petit ami,\tu tournes encore autour du pot.\Qu'est-ce que tu me veux ? Tu fais fausse route, l'ami.\Je suis déjà toute dévouée à lui. \Tu arrives trop tard, petit.
sc159_spa_5	Tu veux que je sois gentille avec toi ?\Mais ça serait pas sincère.\Un ami qui complète ton âme, ça n'existe pas.\On fait tous semblant, et ça se termine toujours avec des larmes.\Tu veux quand même te rapprocher de moi ?\... Oh, espèce d'idiot.
sc159_spa_max	D'accord, petit démon teigneux, soyons amis.\Tous les démons sont uniques\chacun à leur manière,\et t'es unique parce que t'es teigneux.\T'as gagné. T'es content ? La vache, t'es pas du genre à lâcher prise, hein ?\Je suis impressionnée.
sc164_spa_1	Qu-Qu'est-ce que vous fabriquez ?
sc164_spa_2	C'est quoi, cette tête ? Tu essaies de deviner ce qu'il se passe dans mon cerveau ? C'est malpoli de dévisager les gens comme ça.
sc164_spa_3	Ça m'énerve. Tout le monde croit qu'on s'est disputés. C'est juste que je suis un peu mal à l'aise quand je suis à côté de toi.
sc164_spa_4	Ce serait sympa de prendre mes sentiments en considération de temps en temps. Je sais que je suis un peu froide, mais sois patient avec moi.
sc164_spa_max	Je sais que je t'ai dit de t'en aller, mais tu n'étais pas obligé d'aller aussi loin. Rapproche-toi un peu. Ah ! Maintenant, tu es trop proche.
sc167_spa_1	Je me sens presque mal d'être la seule à autant m'amuser.
sc167_spa_2	Comment allez-vous, Maître ? De quoi est-ce qu'on va parler, aujourd'hui ? On a le temps, alors papotons tranquillement.
sc167_spa_3	Quelle est l'espérance de vie d'un démon ? Ou plutôt, combien de temps peut-on vivre ensemble, vous et moi ? C'est étrange. Ça fait si longtemps que je ne pense plus qu'à l'avenir.
sc167_spa_4	Les Childs et les humains ne sont pas si différents que ça. Je suis peut-être un bon Child. Je dirais même que j'ai un tempérament démoniaque. Hi hi, je plaisante.
sc167_spa_5	Je sais que je suis trop gâtée, mais parfois, j'aime pouvoir me reposer sur vous. Je suis votre Child, après tout, et vous êtes mon maître. ... Hmm... Est-ce que j'en fais un peu trop ?
sc167_spa_max	Dites-moi tout. Je veux apprendre à vous connaître. Quel genre de démon êtes-vous quand je ne suis pas là ?
sc169_spa_1	Mon chocolat a fondu... *pleure*
sc169_spa_2	Les démons ont toujours l'air d'une humeur massacrante. Je suis sûre qu'ils se sentiraient mieux s'ils mangeaient un peu de chocolat.
sc169_spa_3	*soupir* ... Pourquoi je soupire ? Je ne faisais que vous imiter, Maître.
sc169_spa_max	Je suis vraiment contente qu'on puisse se détendre comme ça, Maître. Je vais vous acheter de délicieux chocolats en rentrant. Des chocolats spéciaux qui ont le goût du bonheur !
sc172_spa_1	Un bon bain rend le cœur plus léger.
sc172_spa_2	Une autre lettre de lui ? Lui répondre, tu dis ? Peut-être que je devrais, oui. Ah, que faire ?
sc172_spa_3	Bonjour, petit. Tu tombes à pic. Je disais une prière pour toi. Tu veux bien en dire une pour moi au... Ben alors, tu t'en vas déjà ? Hi hi...
sc172_spa_4	Tu pourrais m'aider ? Quelqu'un m'a déclaré sa flamme. Pour de vrai. Je me disais qu'avec ton aide je pourrais m'ouvrir à cette personne.
sc172_spa_max	Et si tu te retournais pour me regarder, de temps en temps ? Tu verrais dans mes yeux une sublime lumière.
sc173_spa_1	Les sources chaudes sont plus amusantes que je croyais.
sc173_spa_2	Toi aussi, tu passes tes journées à t'ennuyer, pas vrai ? C'est pour ça que tu tires toujours une tronche de dix kilomètres de long.
sc173_spa_3	Si tu viens pas pour jouer avec moi, va-t'en. Tu me déconcentres.
sc173_spa_4	T'as l'air de t'ennuyer comme un rat mort. Tu veux jouer avec moi ? Personne me l'a demandé, je l'ai décidé toute seule. Non ? T'as pas envie ?
sc173_spa_5	Je déteste me battre. C'est trop chiant. Et ça fait transpirer. Beurk ! Je préfère jouer au papa et à la maman avec toi.
sc173_spa_max	Tu sais, je comprends. C'est ennuyeux de passer du temps avec moi. ... Hein ? C'est pas ennuyeux ? Je sais pas si tu le penses vraiment, mais ça fait plaisir à entendre.
sc174_spa_1	Je viens de réaliser à quel point je suis épuisée...\J'imagine que prendre un peu soin de soi est vraiment important.
sc174_spa_2	Un petit tête à tête... Mon cœur bat la chamade ! ★ Attends, c'est parfait. C'est parti pour le direct de l'émission spéciale "Rendez-vous torride avec A.I" !
sc174_spa_3	Bonjouuuur, petit prétendant ! Quel scoop as-tu pour nous aujourd'hui ? Hi hi, je te taquine ! Quoi qu'il en soit, tu as un don pour me trouver.
sc174_spa_4	Revoilà le petit prétendant ! Je prends un peu de temps pour moi, mais tu peux me rejoindre, si tu veux. Alors ? Tu voulais me parler, non ?
sc174_spa_5	Le concours du Roi des démons est chaud bouillant, dans tous les sens du terme ! Les indices d'écoute battent tous les records ! Ah, j'adore le concours du Roi des démons ! Plus jamais je ne ferai de reportages sur des démons inconnus.
sc174_spa_max	Émission exclusive ! Un rendez-vous torride avec A.I, la journaliste de Chaîne Evil ! ★ Je pensais diffuser notre rendez-vous en direct pour mes fans. Qu'en penses-tu ?
sc175_spa_1	Un vrai chevalier doit rester en alerte, même dans un moment comme celui-ci.
sc175_spa_2	Maître, voilà un moment que le concours du Roi des démons a commencé. Accepteriez-vous que je vous mette à l'épreuve pour mesurer vos progrès ?
sc175_spa_3	Je crains que nous n'ayons pas le temps de jouir de plaisirs tels que les sources chaudes durant le concours.
sc175_spa_4	C'est mon devoir de Child de vous servir. Je ne souhaite aucune rémunération.
sc175_spa_5	J'ai entendu dire que vous vous inquiétiez pour moi. Je vous assure que c'est inutile. Moi, Croix Rouge, serai votre chevalier invincible et... Oh. C'est au sujet de dame Una que vous étiez inquiet.
sc175_spa_max	Ayez confiance. Je vous protégerai jusqu'à mon dernier souffle. Vous pouvez vous consacrer à la propagation de vos idéaux.
sc176_spa_1	C'est incroyablement luxueux ! Et c'est grâce à toi.
sc176_spa_2	Tiens, il va pleuvoir. C'est pas souvent que je te vois. Bonjour. Qu'est-ce que je peux faire pour toi ? Rien ? Pff, tu es toujours aussi passionnant, à ce que je vois...
sc176_spa_3	Hi hi hi ! Je suis en super forme, aujourd'hui. Regarde ce pactole ! Ce gars est sacrément baraqué, mais on peut dire qu'il a une araignée au plafond. Tu parles d'une proie facile !
sc176_spa_4	Oh, regardez, voilà ma victime du jour ! Hi hi ! Je te taquine. J'ai pas prévu de t'arnaquer, pas la peine d'être sur tes gardes.
sc176_spa_5	Hé, tu vas faire quoi quand tu seras devenu Roi des démons ? Moi, je crois que je vais construire une jolie petite maison très loin des démons et des humains. Je pourrai m'y souvenir de mes maîtres de temps en temps.
sc176_spa_max	Tu seras vraiment mon dernier maître ? J'ai encore du mal à le croire. Alors la malédiction a été conjurée ? Mes maîtres vont arrêter de mourir ? J'ai subi assez de pertes pour toute une vie.
sc178_spa_1	On ne joue pas à chat, aujourd'hui ?
sc178_spa_2	Je ne sais pas si c'est bien ou pas, mais je me contente de flotter comme le brouillard.
sc178_spa_3	Si je disparaissais... tu te souviendrais de moi ?
sc178_spa_max	Merci... de ta compréhension. C'est tout ce que je voulais te dire.
sc180_spa_1	Merveilleux ! Absolument merveilleux ! Ha ha ha ha !
sc180_spa_2	Le magnifique Seigneur Mammon ne désire que les plus belles femmes et les plus grandes richesses ! Il n'a besoin de rien d'autre !
sc180_spa_3	Oh, pauvre de moi, seul, si seul ! Je renoncerais à toutes mes richesses si cela me permettait de conquérir son cœur ! Enfin, peut-être pas toutes. La moitié de la moitié suffirait-elle ?
sc180_spa_4	Comme c'est abject ! Quel endroit navrant ! Tout simplement sordide ! Et comme si cela ne suffisait pas, ce vêtement est tout froissé. Serviteur numéro 1, utilise donc cet or pour te procurer des atours dignes de ce nom.
sc180_spa_5	Tu serviras de messager entre mademoiselle Mona et moi-même, le Seigneur Mammon. Oh, oui ! Ha ha ha !
sc180_spa_max	Bien, serviteur numéro 1 ! Ou devrais-je dire, pigeon voyageur numéro 1 ! Va, transmets mon amour le plus sincère à mademoiselle Mona !
sc183_spa_1	Même une déesse doit se reposer.
sc183_spa_2	Tu t'enquêtes des souvenirs que j'ai de ma passeuse de pacte ? Quel serin tu fais ! Ce néanmoins, je vais accéder à ta requête. La vie humaine, telle la broue, est éphémère, oblitérée en un instant. Partant, j'ai laissé derrière moi tout ce qui avait fait son temps.
sc183_spa_3	Ces Childs soignent leurs maux dans ces sources chaudes ? Pitoyable. Voirement pitoyable.
sc183_spa_4	Petit démon, un aria sans grande importance tourmente ton cœur. Mets donc tes soins de côté et viens te délasser auprès de moi.
sc183_spa_5	Agenouille-toi, incline ta tête et encense-moi ! Que la félicité emplisse le cœur de celui qui obéit à mon décret !
sc183_spa_max	Je serai près de toi à demeure. Agenouille-toi devant moi et adresse-moi ta supplique. Lorsque tu solliciteras de l'aide, la grâce de la déesse descendra sur toi.
sc184_spa_1	C'est plutôt pas mal, comme paradis.\Aaah, c'est agréable... ♪
sc184_spa_2	Je veux abandonner le concours du Roi des démons et partir loin, très loin d'ici ! Il est peut-être temps de préparer ma 1 254e tentative d'évasion.
sc184_spa_3	Si les combats s'arrêtent un jour et que la paix revient réellement, je partirai en quête du paradis.
sc184_spa_4	Oh ? Tu veux qu'on s'enfuie ensemble ? En laissant tes succubes, peut-être ? Ça me plaît bien. Yo ho ho ! ♪
sc184_spa_max	La prochaine fois que tu es fatigué, essaie de penser au paradis. Ça n'existe pas ? Comme si je ne le savais pas ! Le paradis, ça vient de soi.
sc186_spa_1	C'était incroyable. Je crois que ça mérite une petite friandise.
sc186_spa_2	Est-ce que les chiens apprécient les bains ?\Non, ne rentre pas.\Va plutôt me chercher une boisson fraîche.
sc186_spa_3	Oh, j'aurais dû amener Trésor.\Hi hi, tu es jaloux ?
sc186_spa_4	Ne laisse pas la température baisser.\Tu sais ce qui se passera si tu me désobéis.
sc186_spa_5	Ce collier est pour toi.\Il est encore plus spécial que celui de Trésor.
sc186_spa_max	Il était temps que je reconnaisse\que tu es le meilleur maître du monde.\Après tout, qui d'autre aurait pu me dresser ? Hé hé...
sc187_spa_1	Mes larmes ne sont-elles pas dissimulées ?
sc187_spa_2	Médée, pourrais-tu parler moins fort ? Ma tête va exploser avec tout ce bruit.
sc187_spa_3	Mon cœur est immergé dans les profondeurs d'un océan de tristesse. Il ne peut en sortir, car je suis moi-même plongée dans les profondeurs de cet océan.
sc187_spa_4	Dis à Médée que sa chaleur m'a réconfortée.
sc187_spa_5	Reste à côté de moi en silence. Je n'ai pas besoin de plus.
sc187_spa_max	Mon passé est juché de malheurs, mais les instants que je passe avec toi me procurent de la joie. J'attends avec impatience de voir ce que l'avenir me réserve.
sc188_spa_1	Hmm... C'est comme si mon corps fondait...
sc188_spa_2	J'ai enfin trouvé des preuves ! L'arrestation du coupable est imminente ! Et ce coupable... c'est toi, démon !
sc188_spa_3	Hmpf ! Tu pensais que j'allais croire à tes sornettes ? Ha ! Une petite minute... Tu es peut-être sur la bonne piste.
sc188_spa_max	Et pour les méchants ? Le marteau de la justice ! Eh oui ! J'ai pour mission de combattre le mal !
sc189_spa_1	J'aimerais que tu m'emmènes dans ce genre d'endroit plus souvent.
sc189_spa_2	Hé, toi, arrête de t'enfuir ! Cette fois, je ne te laisserai pas t'échapper ! ... Pourquoi je te pourchasse ? Ton crime est de ne pas savoir pourquoi je te pourchasse !
sc189_spa_3	Tant pis si ça ne te plaît pas. Je ne serais pas obligée de te coller comme ça si tu n'essayais pas de t'échapper à chaque fois !
sc189_spa_max	Ce que je vais faire quand je t'aurai capturé ? Te protéger des méchants ! ... Qu'est-ce qu'il y a de si drôle ?
sc190_spa_1	La peau d'une actrice est aussi importante que son jeu.\Aaah, ça devrait lui faire du bien ♪
sc190_spa_2	Il y a des paparazzis partout, en ce moment. Quelle plaie ! Les acteurs ont le droit d'avoir une vie privée.
sc190_spa_3	Mon rôle le plus mémorable ? Sans doute celui de la PDG qui a fait une syncope à cause de son hypertension artérielle.
sc190_spa_4	Maître, vous avez l'air d'un idiot, à baver devant la télé. Rah, c'est insupportable ! Je refuse de me faire voler la vedette par une cuisse de poulet !
sc190_spa_max	Le cinéma, ce n'est ni une illusion ni la réalité. C'est plutôt l'acteur qui vit son rôle. Quand je joue, ça devient ma réalité.
sc191_spa_1	Hmm, c'est agréable !
sc191_spa_2	Tu veux savoir d'où vient ma force ? De la passion ! La compétition ! Une assurance à toute épreuve ! Un gamin comme toi peut même pas concevoir une telle force.
sc191_spa_3	Je vais te dire mon secret... La véritable source de ma force, c'est mes cheveux. Ouais, si tu coupes mes cheveux, je deviens aussi faiblarde qu'une mamie leucémique.\Ha ! T'y as cru, hein ?
sc191_spa_max	C'est mon devoir ! Plutôt mourir que de manquer à ma parole. Tu peux compter sur moi, gamin.
sc193_spa_1	Hiii !\Recule !\Ne t'approche pas, démon !
sc193_spa_2	C'est plutôt impressionnant, pour des démons.\Qui aurait cru que vous pouviez créer des sources chaudes.\Aaaah...
sc193_spa_3	Qui t'a dit que tu pouvais faire\copain-copain avec moi ?!\Et arrête de rire aussi fort !\Si on nous voit,\on va croire qu'on est amis !
sc193_spa_4	Je crois que tu te fais des idées.\Si j'ai passé un pacte avec toi, c'est uniquement pour Monsieur Caïn.\Arrête de me donner des ordres !\Sauf si c'est une faveur. Ça, c'est une autre histoire.
sc193_spa_5	La maladie de Monsieur Caïn... est dans son cœur.\Je vais l'aider à guérir, coûte que coûte.\Aide-moi, tu veux ?
sc193_spa_max	Tu es un démon bien étrange, tu sais ?\Pourquoi tu te comportes comme un humain ?\Tu ne me facilites pas la tâche.\Je vais finir par te pardonner.
sc194_spa_1	Chut... Pas de grossièretés, d'accord ?
sc194_spa_2	Ce n'est pas bien de mentir. Enfin, ce n'est pas bien de se faire prendre en train de mentir, surtout. Hi hi hi.
sc194_spa_3	Les démons ne sont-ils pas censés mentir et tromper ? Maître, nous devrions vous retirer votre carte de démon.
sc194_spa_4	La vérité ? La justice ? Quel est l'intérêt ? Ce qui compte, c'est qui gagne. Hi hi hi.
sc194_spa_5	Vous êtes trop gentil, Maître. Et plus vous êtes gentil, plus je suis déçue.
sc194_spa_max	J'ai hâte de vous voir devenir Roi des démons, Maître. Usurper votre trône sera un jeu d'enfant.
sc195_spa_1	C'est si chaud. Théron s'amuse bien aussi.
sc195_spa_2	Tu penses que Théron est capable d'attraper des gens et de les manger ? C'est drôlement méchant ! Présente-lui tes excuses sur-le-champ !
sc195_spa_3	Théron dit qu'il veut aller se promener avec toi, et il n'acceptera aucun refus. Tu veux bien le prendre un moment ?
sc195_spa_4	Oh, regarde. Théron te dévisage en tirant la langue. Il a sûrement envie de te faire plein de bisous.
sc195_spa_max	Tu sais où se trouve le paradis ? Hi hi hi. Tu ne le sais peut-être pas, mais moi, si. Le paradis, c'est partout où nous sommes ensemble.
sc196_spa_1	Tu veux une de mes pommes ? Je t'aurai prévenu...
sc196_spa_2	Ce que je fais ? Une tâche de la plus haute importance : j'existe. C'est amplement suffisant.
sc196_spa_3	Je te suis entièrement dévouée. Je combattrai pour toi jusqu'à la fin. Tu as préparé une rémunération appropriée, n'est-ce pas ? Bien sûr, rien de ce que tu peux m'offrir ne me conviendrait.
sc196_spa_max	Ceux qui ont le pouvoir exploitent ceux qui ne l'ont pas. C'est l'ordre naturel des choses. Et pourtant, une question se pose : entre nous deux, qui nous appelons mutuellement "maître", qui exploite qui ?
sc198_spa_1	Bien. C'est comme ça qu'il faut s'occuper de moi.\Ainsi, je peux me concentrer pour être votre arme fatale...
sc198_spa_2	Bonjour. Qu'est-ce qu'il y a ? Hi hi hi. Vous attendiez quelque chose ? Si vous me dites la vérité, je pourrais bien vous accorder une faveur... ou pas.
sc198_spa_3	Oh là là, depuis combien de temps est-ce que vous me regardez ? Hi hi. Ce n'est pas grave. J'ai l'habitude d'être le centre d'attention.\C'est étrange... Normalement, j'arrive à dissimuler mes émotions mieux que ça.
sc198_spa_4	S'occuper de tous ses Childs et assistantes doit être épuisant, non ? Hi hi, je plaisante. Décidément, vous avez le don d'être surpris par tout ce qu'on vous dit. Vous ne vous débarrasserez pas de moi de sitôt.
sc198_spa_max	Je suis seule avec un membre du sexe opposé, mais il n'y a pas une once de tension. J'ai beau vous envoyer des signaux, vous n'en captez aucun. Je suis déçue. ... Mais non, je plaisante.
sc199_spa_1	C'est si chaud.
sc199_spa_2	Mon vœu ? C'est censé être un secret, mais... je viendrai vous le révéler en cachette tout à l'heure.
sc199_spa_3	Je veux connaître votre pensée, mais vous utilisez beaucoup de mots compliqués.
sc199_spa_4	Monsieur Démon. Monsieur Démoooon ! Je sais que vous faites semblant de dormir. Allez, debout, venez jouer avec moi !
sc199_spa_5	Vous m'avez appelée, Monsieur Démon ? Comme ça me fait plaisir ! Vous êtes mon petit chouchou !
sc199_spa_max	Un jour, vous allez grandir, n'est-ce pas ? Moi, je resterai toujours comme ça, alors vous avez intérêt à continuer à jouer avec moi.
sc200_spa_1	Mes lunettes sont embuées. C'est pour ça que j'évite les sources chaudes...
sc200_spa_2	Tous les criminels laissent des indices, même les plus malins. Rien ne m'échappe.
sc200_spa_3	Tu as vu des démons ou des Childs suspects dans les parages ? Quelque chose qui sort de l'ordinaire, peut-être ? Oh, ne t'inquiète pas. Je suis juste là par précaution.
sc200_spa_max	Ouvre l'œil. Ce monde grouille de désirs égoïstes et de plans maléfiques. Si tu ne fais pas attention, les criminels te mèneront par le bout du nez.
sc202_spa_1	*bâille*... C'est le paradis...
sc202_spa_2	De quoi je veux me venger ? Vous essayez de mettre vos sales pattes sur mon lourd passé, boss ? ... Ha ha, je vous embête. On est pas encore assez proches pour que je vous en parle.
sc202_spa_3	Je vous l'ai déjà dit, non ? Il faut essayer pour savoir. C'est toujours ce que je pense.
sc202_spa_4	Qu'est-ce que vous voulez savoir ? Si j'ai un amant ? Gah ha ha ! Je rigole ! C'est mon envie de vengeance qui vous intéresse ? Bon, d'accord. Mon abruti de père a été séduit par un démon, a fait voler notre famille en éclats et s'est retrouvé handicapé. Voilà.
sc202_spa_max	Je commençais à me demander si j'avais pas un truc entre les dents, mais j'ai compris. Mon passé vous intéresse toujours. Laissez tomber, boss. Ce sont mes affaires.
sc203_spa_1	Cet endroit est... mystique.\J'aime bien.
sc203_spa_2	Peu importe qui devient Roi des démons.\Les faibles seront toujours traités de la même façon.
sc203_spa_3	Je suis triste pour les animaux.\Ils ne peuvent même pas parler.\C'est pourquoi j'ai juré de les protéger jusqu'à la fin.
sc203_spa_4	C'est exactement le monde que je souhaite.\C'est si paisible.\Les animaux ont l'air heureux ici.
sc203_spa_5	Si tout le monde était aussi généreux\que toi, coexister avec les animaux\ne serait pas un rêve utopique.
sc203_spa_max	Merci. Tu m'as fait changer d'avis à propos\des démons. Je te soutiendrai dans\ton périple pour devenir Roi des démons.
sc205_spa_1	Regarde-moi ces jets !
sc205_spa_2	Hé, jouons à un jeu ! Si je gagne, tu devras m'apporter quelques moustaches de Théron !
sc205_spa_3	Tu n'aimes pas passer du temps avec moi ? C'est juste que tu fais toujours cette tête... Tu veux bien jouer avec moi, aujourd'hui ?
sc205_spa_4	Tout était faux dans mon monde. C'était amusant, mais je me sentais seul et mal à l'aise. Maintenant que tu m'as appelé dans le monde réel, je me sens bien !
sc205_spa_max	Je vais faire de mon mieux pour toi ! Je suis un super magicien, je vais faire exploser tous tes ennemis ! Tu peux compter sur moi !
sc208_spa_1	D-des bains mixtes ? P-par où suis-je censé regarder ?
sc208_spa_2	Repousser les limites de son corps, c'est douloureux, mais au-delà de cette douleur se trouve la véritable gloire d'un guerrier.
sc208_spa_3	Si t'as l'intention d'être mon maître, t'as intérêt à être prêt à m'affronter et à me battre ! C'est le seul moyen pour que je m'incline devant toi.
sc208_spa_max	J'irais pas jusqu'à t'appeler mon maître, mais je te considère comme un frère d'armes. Quand on est sur le même champ de bataille, on forme un duo de choc !
sc209_spa_1	Réveille-moi si je m'endors, d'accord ?
sc209_spa_2	Qu'est-ce qu'il y a, encore ? Oh, je dois faire attention parce que l'eau est chaude ? Pff, je m'en fiche ! Je ne suis pas une petite natu... Aïe ! Ouah, elle est vraiment brûlante !
sc209_spa_3	J'en ai marre d'être mêlée à tout, tout le temps. J'ai bien le droit de m'en ficher, non ?
sc209_spa_max	Pourquoi est-ce que tu es aussi borné ? Comment est-ce que tu peux espérer obtenir des résultats différents en faisant la même chose, encore et encore ? Tu gaspilles ton énergie.
sc210_spa_1	Comment oses-tu regarder la Reine des démons ? Qu'on lui coupe la tête !
sc210_spa_2	Mon histoire n'est pas un conte de fées ! C'est un fait historique au sein du Royaume infernal !
sc210_spa_3	Accéder au trône des démons n'est pas bien compliqué. Il suffit de faire preuve d'altruisme et d'impartialité tout en restant fidèle à ses ambitions.
sc210_spa_max	Si tu souhaites devenir Roi des démons, tu dois d'abord apprendre à t'incliner, comme je l'ai fait devant toi.
sc214_spa_1	Hmm... Pas mal.
sc214_spa_2	Franchement, je n'arrive pas à croire que tu te fais appeler "maître" alors que tu es incapable de surpasser l'un de tes propres Childs. C'est un miracle que tu aies survécu jusqu'ici.
sc214_spa_3	Une belle victoire, ça n'existe pas. Un véritable vainqueur est une bête hurlante et sanguinolente qui montre ses dents.
sc214_spa_4	Malgré tous les combats auxquels tu as survécu, tu ne sembles pas avoir fait le moindre progrès. Vais-je devoir te tenir la main pour le restant de mes jours ?
sc214_spa_5	Je ne comprends toujours pas ta fascination pour ma mallette. Je pensais que tu finirais par te lasser. Je te montrerai ce qu'elle contient, si tu le souhaites. Mais en échange, je veux que tu mettes ta vie en jeu.
sc214_spa_max	Tu fais toujours les choses à moitié. Je veux que tu fasses preuve de détermination et que tu t'appliques. Alors seulement, moi, Jupiter, te porterai assistance jusqu'à mon dernier souffle.
sc216_spa_1	Oooh, c'est gentil. Je ne vais peut-être pas rentrer, finalement.
sc216_spa_2	Tu veux qu'on se rapproche, joli petit chaton ? Alors tu vas d'avoir m'attraper !
sc216_spa_3	Les règles sont faites pour être enfreintes, non ? De toutes les règles de Child, l'obéissance à son maître est celle que j'ai le plus envie d'enfreindre !
sc216_spa_4	J'aime les personnes curieuses et saugrenues. Tu ne l'es pas vraiment, chaton, mais tu fais un ami formidable malgré tout.
sc216_spa_5	Pourquoi est-ce que tu es là ? Oh, je sais ! Tu avais peur que je m'échappe à nouveau, pas vrai ? Ne t'en fais pas. Je vais rester à tes côtés pendant un moment.
sc216_spa_max	Un jour, je vais sûrement disparaître sur un coup de tête. C'est mon caractère. Le clair de lune, l'obscurité... Elles m'appellent.
sc218_spa_1	Je suis si heureuse !\Je me demande si ma passeuse de pacte s'est déjà rendue dans un endroit pareil.
sc218_spa_2	Oh, oh ! Ma peau a l'air translucide maintenant !\C'est plus efficace que n'importe quel soin de peau.
sc218_spa_3	Viens, Maître.\Il fait bien chaud ici et tout est si relaxant.
sc218_spa_4	L'eau est si chaude,\j'ai l'impression de me baigner dans ton amour.
sc218_spa_5	Une température idéale, des serviettes toutes douces, une vapeur luxueuse.\Je pourrai vivre comme ça tous les jours si je me marie, pas vrai ?
sc218_spa_max	Si tu savais à quel point l'idée de pouvoir me baigner ici tous les jours\me rend heureuse !
sc219_spa_1	Il faut chaud ici...
sc219_spa_2	Va-t'en.\Je ne supporte ni les indécis ni les inutiles.
sc219_spa_3	Tu es à mourir de rire.\Tu me fais confiance alors que tu ne sais rien de moi ?\Je ne te ferais pas confiance pour t'occuper d'une plante verte.
sc219_spa_4	La seule raison qui m'a fait te reconnaître comme maître,\c'est que ça m'arrange.
sc219_spa_5	C'est le mode de vie des démons qui te dérange tant que ça ?\Arrête de te prendre pour un humain, ça vaudrait mieux.
sc219_spa_max	Si tu deviens Roi des démons, alors je me prosternerai devant toi.\Mais pour un maître inutile, je me contenterai d'être poli.
sc220_spa_1	Rien ne vaut un plongeon dans les sources chaudes après le sport ! Et on y retourne !
sc220_spa_2	Quelle blague... Le démon censé être mon maître est plus faible que ses propres Childs. Hé oh, Monsieur Pathétique, je te parle ! Tu m'écoutes ? Non mais !
sc220_spa_3	Les efforts paient toujours. Si tu restes en piste, tu finiras forcément par gagner. En entraînant ce faible petit corps, tu pourrais au moins devenir moyen !
sc220_spa_max	Monsieur Pathétique, en tant que maître, tu dois montrer l'exemple à tes Childs. Pas de panique ! Je ferai tout ce qui est en mon pouvoir pour t'aider.
sc221_spa_1	Profiter à fond de tout et de rien.\C'est ça, la voie du guerrier.
sc221_spa_2	Argh, j'ai mal à la tête...\Ne fais pas attention à moi, je parle toute seule.
sc221_spa_3	Mes oreilles sifflent encore. C'est sûrement ce qu'on ressent quand le monde entier nous méprise. ... Ça ne me ressemble pas de dire des choses comme ça. Oublie ce que j'ai dit.
sc221_spa_max	Démon noir, je te confie ma lame. Incarne l'épée fidèle de la rakshasa et ouvre la voie vers l'avenir.
sc222_spa_1	Je m'ennuie...
sc222_spa_2	Moi, Eldorado, suis le seul Child capable de mener un misérable prétendant tel que toi à la victoire. Maintenant, chante mes louanges ! Ha ha ha ha !
sc222_spa_3	Comment serai-je récompensée pour toute l'aide que je t'apporte ? ... Tu es sans le sou ? Hmpf ! Même si tu me dévouais ta vie entière, ainsi que toutes tes vies à venir, ce ne serait pas suffisant !
sc222_spa_4	Tu me trouves avare ? Eh bien, c'est vrai. Que peut-on espérer protéger sans rien avoir à son nom ? Tu es un drôle de démon.
sc222_spa_max	Démon, je dois admettre que tu as le mérite d'être déterminé. Tu es digne de partager une fraction de mes richesses.
sc223_spa_1	Une petite pause avant de repartir en voyage.
sc223_spa_2	Je suis une Child errante,\témoin de toute chose.\Démon,\vous êtes l'une de ces scènes fugaces auxquelles j'assiste.
sc223_spa_3	Ne combattez pas le courant de la rivière.\Laissez-vous porter.
sc223_spa_4	La vie est comme une rivière en mouvement\et un lac stagnant.
sc223_spa_5	Je vois enfin la rivière.\Profitons de notre voyage\jusqu'au jour où nos chemins se sépareront.
sc223_spa_max	Je suis heureuse de vous avoir rencontré.\J'ai de précieux souvenirs grâce à vous.\Merci.
sc225_spa_1	Euh, où sont les bains pour femmes ?
sc225_spa_2	Tu peux pas faire quelque chose au sujet de Davi ? Elle me harcèle pour que je tire son traîneau ! Pourquoi c'est à moi de le faire, hein ? Me laisse pas me débrouiller tout seul !
