// key	CHAT_SPA_
sc001_spa_1	Whew...\Nothing like a little self-care ♥
sc127_spa_5	Everyone around me is my enemy. Although... Having one friend I could trust might not be so bad. Someone like you, for example.
sc127_spa_max	I'm only helping you because I'm a Child. You shouldn't put too much trust in me. Then again, I WAS pretty good, eh? It's because I'm so patient.
sc130_spa_1	That's it... I can feel inspiration coming to me...
sc130_spa_2	Haven't you ever heard that a genius is one who works off of 100% inspiration? Who said that, you ask? Me, of course!
sc130_spa_3	I don't need acclaim. So long as I'm personally satisfied, that's enough for me. But if I had to pick one other thing I'd like... It'd be Master's praise.
sc130_spa_max	Silence! A breathtaking musical composition is coming to me! What kind of song, you ask? One for you, of cour— Ack! That was meant to be a secret!
sc132_spa_1	Live it up!
sc132_spa_2	I'm trying to think, so could you quiet down?
sc132_spa_3	Demons are creatures who indulge in pleasure—who revel in overabundance. And then there's you, leading an honest, frugal life.
sc132_spa_4	Death awaits us all. You can only enjoy life while you have it.
sc132_spa_5	Live every day as if it was your last. That way, you won't have any regrets.
sc132_spa_max	I don't think you have to work so hard. Sure, you might not be as powerful as the other Archfiend candidates, but there are certain abilities and a charisma that only you have.
sc133_spa_1	Teehee, this is kind of embarrassing.
sc133_spa_2	How about a little challenge? If you survive the Archfiend Contest, you win. If you die, I win!
sc133_spa_3	Oh, come on, it was just a little joke. Don't get so upset. That sour expression just makes me want to mess with you even more!
sc133_spa_4	Messing with you is what I do for fun. Aw, are you upset again? Hee hee.
sc133_spa_max	You look so cute when you're sleeping. It makes me want to play a prank on you. But it'd be a waste to wake that pretty face, so I'll content myself with watching you instead.
sc135_spa_1	Who said you could look?
sc135_spa_2	My only wish is to protect what is precious to me. The only problem—if you can call it that—is that I'm still trying to find it.
sc135_spa_3	You're so kind, little imp. But you can trust me. After all, a true warrior would never betray her master.
sc135_spa_max	My place is before you, and yours behind me.
sc139_spa_1	I had a dream. In it, there were butterflies flying amidst blooming flowers... And I was there, the same as ever.
sc139_spa_2	This isn't the place I've been looking for—the one etched into my memories. Then again, I think it's grown on me.
sc139_spa_3	Once the Archfiend Contest ends, we'll be leaving this place, won't we? We've already made some nice memories here. Having to leave in search of new horizons certainly won't be easy.
sc139_spa_4	I don't think I'm the Child you wanted. I'm really not comfortable encountering new places and people. I need you to tell me what to do.
sc139_spa_max	You were the first to tell me I could live without responsibilities. I'll never forget how that soothed my anxious heart. I've decided I'm going to pay you back for that someday.
sc141_spa_1	Mmm, it's so warm. Feels incredible.
sc141_spa_2	I sent a love letter! Look! It's addressed to you. I wrote your name in red here, see? It represents the passionate feelings I have for you, Master.
sc141_spa_3	Love doesn't always bring you joy. Sometimes it's accompanied by pain. But I don't care. I'm going to keep loving until I die!
sc141_spa_4	A-ha! I was wondering why you're always on your own, but now I know it's because you're so shy about being loved! You're so cute, Master ♥
sc141_spa_max	What's a demon, exactly? Master has the right to love, just like the humans he looks up to so mu— Oops, I should've kept that to myself.
sc142_spa_1	Am...am I dreaming? Or is this reality?
sc142_spa_2	Hello, Demon. What's up? You look so cheerful. Did you have nice dreams or something? Mine were nightmares.
sc142_spa_3	Do you want to live in a world of dreams with me? It's never cold there, and people are always smiling. It'd be an even happier world if you came with me.
sc142_spa_max	I had a dream that reality was melting away. Everything in the dream disappeared, but it's okay, because you'll be in my dreams forever.
sc147_spa_1	What's with this tepid water?\Hurry and turn up the heat.
sc147_spa_2	Hey! Piss off. You're in the way. Ugh, I'm surrounded by idiots wherever I go.
sc147_spa_3	Hey, quit beatin' around the bush and say what you mean. Don't you think we'll finally be able to have a conversation if you do that?
sc147_spa_max	If you ask me, you're probably better off stayin' an idiot than tryin' to half-ass being a bad guy. I'm bad enough for both of us.
sc148_spa_1	Ahhh, that feels real good!
sc148_spa_2	A-ME-RI-CA-NO! Do your ears work? Go buy me an iced Americano!
sc148_spa_3	Being a supervillain comes naturally to me. I don't need your help.
sc148_spa_4	The other Childs always complain that I'm too riled up or causing trouble. What, is that supposed to bother me?
sc148_spa_max	You think I'm selfish? What, are you jealous that I don't give a crap what others think? You should try it sometime! If you can't figure it out, then watch me!
sc149_spa_1	I feel better now.
sc149_spa_2	Would you hear my story? It could take a while.
sc149_spa_3	Why did you choose me...? Is it because I'm fat? Or because I'm dumb and bad at talking? You're so mean.
sc149_spa_4	I wonder if it's going to rain. I can almost smell it in the air. That reminds me—cats hate water.
sc149_spa_5	Being in the water's the best. Nobody bothers me here. The only thing that would make it better is if he were here with me.
sc149_spa_max	You know, you're the most important person to me... The person I met the moment I was born.
sc153_spa_1	I guess the occasional hot spring trip isn't so bad either.
sc153_spa_2	There's a legend regarding this hot spring. So, without further ado, it's time for... "Sunken Ship Search in the Sweltering Springs"! Hee hee, I hope you're ready for the hunt of a lifetime!
sc153_spa_3	You want to hear about my adventures? Are you sure? You might pass out from how amazingly unbelievable they are! Okay, how about I start with the time I met the lord of the deep blue sea?
sc153_spa_4	Life's an adventure! The journey only ends once you find your hidden treasure. What kind of treasure are YOU looking for?
sc153_spa_5	Lots of people say they're going to go on an adventure, but the ones who actually do are few and far between. If you're really one of the few, will you embark on a journey with me?
sc153_spa_max	My dream is to make a name for myself as a great explorer. They'll call me "Great Adventurer Epona." Don't worry—I'll make sure the legends mention her trusty demon assistant.
sc154_spa_1	What are you looking at?\Is it so rare to see a Child taking a bath?
sc154_spa_2	To think, all I possess is this languid, rail-thin body... Pathetic.
sc154_spa_3	You have no need to advocate for yourself, Master. Whatever state you find yourself in, I will be faithful to you. I believe that is what I must do.
sc154_spa_4	You think me boastful? I am simply concerned for you. However, if I have made you uneasy in any way, I apologize.
sc154_spa_max	Master, you need not make any more decisions. I will be your eyes and ears. You need only follow my lead.
sc155_spa_1	Letting a star have a private life...\Not a bad concept, huh?
sc155_spa_2	Not everyone is born as talented as I. But maybe she can catch up\to me if she tries hard enough.
sc155_spa_3	Once a star, forever a star!
sc155_spa_4	I want to be remembered as a talented singer forever.\I want to sing songs that will transcend time.
sc155_spa_max	Make me the greatest star of all time.\I want to sing for everyone and make them happy.
sc156_spa_1	It's good to be alive...
sc156_spa_2	Describe your Infernal Realm to me, boy. Perhaps it may serve to motivate you in battle.
sc156_spa_3	I am your Child, you say? What a curious statement. I doubt you truly want to know which of us is the real "child."
sc156_spa_4	There is no such thing as "eternity." All things fade away, leaving only twisted recollections. That is why I seek eternal life.
sc156_spa_5	It would appear you are trying to avoid me. Do I scare you? Being avoided so makes me the slightest bit lonely.
sc156_spa_max	I am ever cloaked in darkness. Even so, that means I am always waiting at your side.
sc158_spa_1	I probably should get back to prowling for playboys,\but this hot spring is kinda doing it for me right now.
sc158_spa_2	Whoa! This place is loaded with hot studs! I love it here, Demon!
sc158_spa_3	I found a super-hot guy that's just my type. Maybe I'll invite him to the pool later. ...Wait a second. I think this guy might be a demon. That shouldn't be a problem, right?
sc158_spa_4	I have to thank you, Demon. Becoming your Child gave me the courage to find love. Now, if only I could snag myself a hot date!
sc158_spa_5	Demon! Nothing's gonna happen if you just stand there. Come with me—I'll show you how it's done!
sc158_spa_max	You've been so clueless ever since we met. Well, you leave me no choice. Love's not gonna happen if I just sit here patiently!
sc159_spa_1	Shut up. All is meaningless,\except for the words of Loki.
sc159_spa_2	Ooh, what is it?\I can tell you're scheming something. \I'm very busy.
sc159_spa_3	This is like "Three Visits to the Thatched Cottage"\or "The North Wind and the Sun," isn't it?\You're being nice to me on purpose, I can tell.\Ho ho, you're cute. I don't dislike your approach. \Actually, you're finally behaving like a demon.
sc159_spa_4	My tiny little friend,\you're feeling me out again.\What is it you want from me? You're barking up the wrong tree, friend.\I've already dedicated my all to him. \You're late, little boy.
sc159_spa_5	You want me to act friendly toward you?\But that's not sincere. \There's no such thing as a friend who will complete your soul.\It's make-believe; a lie that always ends in tears. \Do you still want to be close to me? \... Oh, you're such a fool.
sc159_spa_max	Okay, you stubborn demon, we can be friends. \Every demon is unique\in its own way,\and you're unique because of your stubbornness. \You won. Happy now? Geez, how can you be so persistent? \I'm impressed.
sc164_spa_1	Wh-What do you\think you're doing?!
sc164_spa_2	What's with that face? Are you trying to figure out what's going through my head? You really shouldn't size people up like that.
sc164_spa_3	How annoying. Everyone thinks we had a fight. I just get a little uncomfortable being right beside you, that's all.
sc164_spa_4	I'd appreciate it if you'd consider my feelings from time to time. Even if I'm a little cold, please be patient with me.
sc164_spa_max	I know I told you to go away, but you don't have to go THAT far. You can get a little closer. ...Ah! Too close.
sc167_spa_1	I almost feel bad that I'm the only one enjoying myself this much.
sc167_spa_2	How do you do, Master? What shall we talk about today? We have plenty of time, so let's take it easy and shoot the breeze.
sc167_spa_3	How long can a demon live? Rather, how long can you and I be together? It's strange. I've been thinking only of the future for so long now.
sc167_spa_4	Childs and humans aren't so different, really. I might be good at being a Child. In fact, I have a pretty wicked disposition. Hee hee, I'm just joking.
sc167_spa_5	I know I'm spoiled, but sometimes I just feel like depending on you. After all, I am your Child, and you are my Master. ...Um, did I come on a little strong?
sc167_spa_max	Tell me everything. I want to know you better. What kind of demon are you when I'm not around?
sc169_spa_1	All of my chocolate melted... *sniff*
sc169_spa_2	Demons always seem kinda down in the dumps. If only they had some chocolate, I'm sure they'd feel better.
sc169_spa_3	*sigh* ...Why am I sighing? Well, I was just copying you, Master.
sc169_spa_max	I'm glad we can take it easy like this, Master. I'm gonna buy you some sweet chocolates when we get back. I'll spring for the special kind that tastes like sheer joy.
sc172_spa_1	Getting clean makes your heart feel lighter.
sc172_spa_2	Another letter from him today? Write a reply, you say? Maybe I should. Ah, what to do?
sc172_spa_3	Hello, boy. You came at just the right time. I was saying a prayer for you. Would you say a prayer for me, t— Hey, leaving so soon? Hee hee...
sc172_spa_4	Could you help me with something? Someone confessed their love to me. Like, for real. I thought maybe your encouragement could help me open up to them.
sc172_spa_max	How about turning to look back at me sometime? You'll see it in my eyes: a soft, beautiful light shining down on you.
sc173_spa_1	Getting in a hot spring is more fun than I thought it would be.
sc173_spa_2	Master, you get bored every day too, right? That's why you're always making that face.
sc173_spa_3	If you won't play with me, then go away. You're distracting me.
sc173_spa_4	You look bored, Master. Wanna play with me? Nobody asked me to, either—I decided on my own. No? Not feelin' it?
sc173_spa_5	I hate fighting. It's so annoying. And all the sweating? Ew. I'd much rather play house with you, Master.
sc173_spa_max	Look, I get it. Spending time with me is annoying. ...Huh? It's not? I dunno if you mean that or not, but just hearing you say it makes me kinda happy.
sc174_spa_1	Ahh, I didn't realize how worn out I was until just now...\I guess a little self-care really can go a long way.
sc174_spa_2	Just the two of us like this... I might be getting a little nervous. ★ Wait, this is perfect. Now broadcasting live: "A.I's Exclusive Hot-and-Heavy Special Report!"
sc174_spa_3	Hiii, little Candidate! What big scoops do you have for us today? Hee hee, I'm just pulling your leg! Anyway, you sure have a way of finding me.
sc174_spa_4	It's the little Candidate again! I'm enjoying some "me" time right now, but you're welcome to join me for a bit. Well? You wanted to talk, didn't you?
sc174_spa_5	The Archfiend Contest is heating up in more ways than one! The ratings are on fire! Man, I love the Archfiend Contest! I'm never going back to the days of reporting on no-name demons.
sc174_spa_max	Exclusive! An Intimate Date with Channel Evil Reporter A.I! ★ I'm thinking of broadcasting our date live for the fans. What do you say? Are you in?
sc175_spa_1	A true knight must remain ever vigilant, even at times like these.
sc175_spa_2	Master, it's been a while since the Archfiend Contest began. Would it be all right if I tested you to see how much you have grown?
sc175_spa_3	I worry whether we have the time to enjoy such luxuries as a hot spring while the Contest is underway.
sc175_spa_4	It's my duty as a Child to serve under you. I don't desire any compensation.
sc175_spa_5	I heard you were worrying about me. I assure you there is no such need. I, Red Cross, will be your invincible knight, and— Oh. It was Lady Una you were worried about.
sc175_spa_max	Be confident. I will remain at your side protecting you until the last. You focus on upholding and spreading your ideals.
sc176_spa_1	This is like the lap of luxury!\And it's all thanks to you.
sc176_spa_2	Here's a rare sight. Don't see you that often. Hello. What can I do for you today? What? Nothing? Well, that's a boring thing to say.
sc176_spa_3	Hee hee hee! I'm on a roll today. Lookit how much I made! That guy's an absolute unit, but he might as well have a block of ice for a head. Such an easy target.
sc176_spa_4	Oh, look, it's my latest target! Hee hee, I'm just messin' with ya. I'm not planning anything. You don't have to be so on edge.
sc176_spa_5	Hey, what are you gonna do when you become Archfiend? I think I'm gonna build a nice, quiet house somewhere far from demons and humans where I can remember my masters from time to time.
sc176_spa_max	Will you really be my last master? It hasn't really sunk in. Could my master-killing curse finally have lifted? I've lost enough people for a lifetime, to be honest.
sc178_spa_1	We're not going to play tag today?
sc178_spa_2	I don't know if this is right, but I'm just here floating like fog.
sc178_spa_3	If I disappeared... Would you remember me?
sc178_spa_max	Thank you...for understanding me. That's all I wanted to say.
sc180_spa_1	Marvelous! Simply marvelous! Ha-ha-ha-ha!
sc180_spa_2	The magnificent Lord Mammon desires only beautiful women and great riches! He needs nothing else!
sc180_spa_3	O, woe is this lonesome life! I would pour out all of my riches in exchange for her heart! Well, maybe not all of them. Perhaps half of half of my riches?
sc180_spa_4	How positively abhorrent. What a meager, squalid room—and what's worse, this clothing is rife with wrinkles. Servant number 1, use this money and procure yourself some proper attire.
sc180_spa_5	You shall act as a liaison between Ms. Mona and myself, Lord Mammon! Oh, yes! Haaahahaha!
sc180_spa_max	Now, servant number 1! Nay, carrier pigeon number 1! Go, relay my earnest love to Ms. Mona!
sc183_spa_1	Even a goddess needs to rest.
sc183_spa_2	Thou ask whether I have a recollection of my pactmaker? Thou art a fool, but I shall indulge thee. Human life is but foam—fleeting, and in an instant, gone. Thus did I leave behind all that I outgrew.
sc183_spa_3	Those Childs heal their maladies in this hot spring? Pitiable. Truly pitiable.
sc183_spa_4	Little demon, some trifling issue assails thy heart. Lay thy cares aside and come and rest beside me.
sc183_spa_5	Bend thy knee, lower thy head, and offer up prayer and praise to me! Joy to he who obeys my decree!
sc183_spa_max	I am ever at thy side. Bend thy knee before me and offer supplication. When thou seek aid, the blessing of the goddess shall be upon thee.
sc184_spa_1	As far as paradises go, this one's not bad.\Aaah, that feels good... ♪
sc184_spa_2	I wanna quit the Archfiend Contest and go somewhere faaar away! Might be time to plan my 1254th escape attempt.
sc184_spa_3	If the fighting ever stops and things actually become peaceful around here, I'm leaving on a journey to find paradise.
sc184_spa_4	Oh? Do you wanna run away together? Leave your succubus behind, maybe? I'm all about that. Yo ho ho! ♪
sc184_spa_max	Try thinking of paradise next time you're tired. There's no such place, you say? As if I don't know that! Paradise is something you make yourself.
sc186_spa_1	That made me feel amazing. I think someone deserves a treat.
sc186_spa_2	Can dogs even appreciate a good bath?\Don't you get in.\Go get me a nice, cold drink or something.
sc186_spa_3	Man, I should've brought Lovely.\Heh heh, are you jealous?
sc186_spa_4	Don't let the temperature drop.\You know what'll happen if you defy me, don't you?
sc186_spa_5	This collar is just for you.\You see, it's even more special than Lovely's.
sc186_spa_max	I think it's about time I acknowledged the fact\that you're the best master in the world.\After all, who else could tame me? Heh heh...
sc187_spa_1	Are my tears not now obscured?
sc187_spa_2	Medea, could you keep it down? You're going to make my head burst with all that noise.
sc187_spa_3	My heart has plunged into the depths of an ocean of sadness. It cannot escape, for I, myself, am the ocean depths themselves.
sc187_spa_4	Tell Medea that her warmth has comforted me.
sc187_spa_5	Just stay by my side in silence. That is enough.
sc187_spa_max	My past has been one of perpetual misfortune, but the time I spend with you from now on may bring happiness. I look forward to it.
sc188_spa_1	Wow... It's like my body is melting away...
sc188_spa_2	I finally have evidence! The culprit's as good as caught! And that culprit...is you, Demon!
sc188_spa_3	Hmph! You thought you could fool me with your obvious lies? Ha! Wait a second... Actually, you might be on to something.
sc188_spa_max	And for bad guys? The hammer of justice! That's right. My mission is to knock the evil right out of 'em!
sc189_spa_1	I wish you brought me to places like this all the time.
sc189_spa_2	Hey you, quit running away! You won't escape this time! ...Why am I chasing you, you ask? Your crime is not knowing why I'm chasing you!
sc189_spa_3	I don't care if you don't like it—deal with it! I wouldn't stick to you like this if you didn't try to escape every time!
sc189_spa_max	What am I gonna do when I capture you? I'll protect you from bullies! ...Uh, what's so funny?
sc190_spa_1	An actress's skin is as important as her acting.\Aaah, this should do wonders for it ♪
sc190_spa_2	There are paparazzi everywhere lately. It's a real bother. Actors' personal lives should be private.
sc190_spa_3	My most memorable role? It's gotta be the one where I played a company president who collapsed from high blood pressure.
sc190_spa_4	Master, you look like an idiot drooling in front of the TV. Oooh, I can't stand it! I'll be damned if I rate lower than a chicken dinner!
sc190_spa_max	Acting is neither falsehood nor reality. Instead, the actor is destined to see herself in the role. When I am acting, that is my reality.
sc191_spa_1	Mmm, that feels good!
sc191_spa_2	Wanna know where my strength comes from? Passion! Competition! Absolute confidence! A kid like you couldn't even dream of this kind of strength.
sc191_spa_3	I'll tell you my secret. The real source of my strength? It's my hair. Yeah, you cut my hair and I'm as weak as the next broad.\Ha! Did you really buy that?
sc191_spa_max	This is my duty! I'll be dead before I renege on a deal. You can count on me, kid.
sc193_spa_1	Eeek!\Stay away!\Come no closer, demon!
sc193_spa_2	This is pretty impressive for demons.\Who knew your kind could create a spa like this.\Ahhh...
sc193_spa_3	Who told you to start acting\all buddy-buddy with me?!\And quit laughing so loud!\If anyone saw us\they'd think we were friends!
sc193_spa_4	I think you got the wrong idea.\I only made a pact with you for Teacher's sake.\Stop ordering me around!\Although if it's a favor, that's another story.
sc193_spa_5	Teacher's sickness... It's in his heart.\I'm going to help him recover at all costs.\So, lend me a hand, won't you?
sc193_spa_max	You're a very strange demon, you know that?\Why do you act like a human?\You're not making it easy for me.\I might end up forgiving you.
sc194_spa_1	Shh... No uncouth remarks, agreed?
sc194_spa_2	It's not good to lie. Wait, that's not quite right. It's not good to get CAUGHT in a lie. Hee hee hee.
sc194_spa_3	Aren't demons supposed to confound and deceive? Master, we should revoke your demon card.
sc194_spa_4	Truth? Justice? Who cares? What matters is who wins. Hee hee hee.
sc194_spa_5	You're too kind, Master. And the kinder you get, the more you disappoint me.
sc194_spa_max	I'm looking forward to the day you become the Archfiend, Master. You'll be so easy to dethrone.
sc195_spa_1	It's so warm. Theron's enjoying himself too.
sc195_spa_2	You think Theron capable of catching people and eating them? How rude. Apologize to him this instant!
sc195_spa_3	Theron said he wants to go on a walk with you, and he won't take no for an answer. Are you okay with taking him for a while?
sc195_spa_4	Oh, look. Theron's staring at you with his tongue out. He must want to give you lots of sweet little kisses.
sc195_spa_max	Do you know where paradise is? Hee hee hee. You might say you don't, but I do. Paradise is wherever we're together.
sc196_spa_1	You want to try one of my apples? Don't say I didn't warn you...
sc196_spa_2	What am I doing, you ask? Something extremely important, I'll have you know: I'm existing. I'm doing plenty just by being.
sc196_spa_3	I am fully devoted to fighting on your behalf. You've readied proper compensation, have you not? Of course, there's nothing you could offer that would satisfy me.
sc196_spa_max	Those with power will use those without it. It is a matter of course. Yet that begs the question: what do we—who call each other "Master"—do in our unique situation?
sc198_spa_1	Good. This is how you should be taking care of me.\This way, I can focus on being your deadliest weapon...
sc198_spa_2	Hello. What's the matter? Hee hee. Are you expecting something? If you tell me the truth, I might just do you a favor...maybe.
sc198_spa_3	Oh my, how long have you been watching me? Hee hee. It's okay. I'm used to getting attention.\Weird, I'm usually much better at hiding how I feel.
sc198_spa_4	Caring for all your Childs and aides must get tiring, eh, Master? Hee hee, I'm kidding. Is being surprised by everything a hidden talent of yours? Heh, you won't rid yourself of me just yet.
sc198_spa_max	Alone with the opposite sex, and not a hint of tension. I'm sending out all these signals, and they all fly over your head. You let me down. ...Naw, I'm just kidding.
sc199_spa_1	So warm.
sc199_spa_2	My wish? It's supposed to be a secret, but... I'll sneak over to you and tell you later.
sc199_spa_3	I want to know what you're thinking, but you use a lot of difficult words.
sc199_spa_4	Mr. Demon. Mr. Deeemon. I know you're just pretending to be asleep. Get up and play with me already.
sc199_spa_5	Did you call me, Mr. Demon? I'm so happy you called me! You're my favorite!
sc199_spa_max	You're going to grow up some day, aren't you? I'm always going to be like this, so you better play with me even after you grow up.
sc200_spa_1	My glasses fogged up. This is why I don't usually go to hot springs...
sc200_spa_2	Every criminal leaves a trace, no matter how clever they are. Nothing gets past me.
sc200_spa_3	Have you seen any suspicious demons or Childs around here? Or perhaps any peculiar occurrences? Oh, don't worry. I'm just here as a precaution.
sc200_spa_max	Keep a watchful eye. This world is a melting pot of selfish desires and evil schemes. If you don't watch yourself, criminals will have you right where they want you.
sc202_spa_1	Yaaawn...\Now this is paradise...
sc202_spa_2	What am I seeking revenge for? Trying to get your grubby paws on my dark past now, boss? ...I'm just messin' with ya. Earn my trust a little more and maybe I'll tell you.
sc202_spa_3	I told you before, didn't I? You'll never know until you try. I haven't changed my mind.
sc202_spa_4	What do you wanna know? If I have a lover? Gahaha! Kidding! You're curious about my need for revenge, eh? Fine. My stupid, middle-aged old man was seduced by a demon, wrecked our home and ended up disabled. That's all.
sc202_spa_max	I was starting to think I had something on my face, but then it hit me that you're still curious about my past. Let it go, Boss. That's not for you to worry about.
sc203_spa_1	This place is so... mystical.\I like it.
sc203_spa_2	It doesn't matter who becomes Archfiend.\The weak will be mistreated all the same.
sc203_spa_3	I feel most sorry for the animals.\They can't even speak.\That's why I've vowed to protect them until the end.
sc203_spa_4	This is exactly the world I hoped for.\It's so peaceful.\The animals here look so happy.
sc203_spa_5	If everyone in the world\had as kind a heart as you,\coexisting with the animals wouldn't be such a farfetched dream.
sc203_spa_max	Thank you. You helped me change my mind\about demons. I'll be cheering for you\to become Archfiend.
sc205_spa_1	Check out that spray!
sc205_spa_2	Hey, Big Bro! Let's play a game! If I win, you have to bring me some of Theron's whiskers!
sc205_spa_3	Do you hate hanging out with me? It's just that you're always making that face. If you don't mind, how about we play a game today?
sc205_spa_4	Everything in my world was fake. It was fun, but also kinda uncomfortable and lonely. You called me into the real world, though, so I'm okay now!
sc205_spa_max	I'm gonna do my best to fight for you, Big Bro! I'm a super wizard, so I'll blast your enemies to smithereens! I've got your back!
sc208_spa_1	M-Mixed bathing?!\Wh-Where am I supposed to look...?!
sc208_spa_2	Pushing your body to the limit is a painful experience, but beyond that pain lies the true glory of a warrior.
sc208_spa_3	If you intend to call yourself my master, then you better be ready to fight and beat me! I'll bow to you only once you can do that.
sc208_spa_max	I wouldn't call you my master yet, but I do think of you as a fellow soldier. If we ever find ourselves sharing the battlefield, we'll be glorious brothers-in-arms!
sc209_spa_1	Wake me up if I fall asleep, okay?
sc209_spa_2	What is it now? Oh, I should be careful 'cause the water's hot? Whatever! How unnecessary, as if I couldn— Ack! Whoa, that's really hot!
sc209_spa_3	I'm so tired of butting in all the time. I should be able to leave well enough alone, right?
sc209_spa_max	Why are you so, so, so, sooo persistent?! How do you keep doing the same thing and expecting different results?! It's an exercise in futility.
sc210_spa_1	How dare you peep at the Archfiend's body! Off with your head!
sc210_spa_2	My story is no fairytale! It is historical fact within the Infernal Realm!
sc210_spa_3	Becoming Archfiend is a rather simple endeavor. One must be selfless and treat their people fairly, as well as remain true to one's ambitions.
sc210_spa_max	If you wish to become Archfiend, you must first learn to bow your head, as I have for you.
sc214_spa_1	Hmm... Not bad.
sc214_spa_2	Honestly, it boggles the mind that you call yourself "master" and yet cannot surpass even one of your Childs. It's nothing short of a miracle you've survived this long.
sc214_spa_3	There's no such thing as a beautiful victory. A true winner is a howling beast, baring its teeth and drenched in blood.
sc214_spa_4	For all the battles you've faced, I've seen neither development nor progress out of you. Am I to babysit for the rest of my days?
sc214_spa_5	I still do not understand your fascination with my briefcase. I thought you'd long given up on it. I'll show you its contents if you wish. But in exchange, I want you to put your life on the line.
sc214_spa_max	You always do everything halfway. I want you to find your resolve and apply yourself. If you do, then I, Jupiter, will aid you for the rest of my days.
sc216_spa_1	Awww, this is nice. Maybe I won't go home.
sc216_spa_2	You want us to be closer, my cute Kitty? Then you'll have to catch me first!
sc216_spa_3	Rules are made for breaking, no? Out of all the Child rules, obeying Master is one I'm more than ready to break!
sc216_spa_4	Whimsical folks with a strong sense of curiosity are my kinda people. That's not quite you, Kitty, but I think you make a great friend all the same.
sc216_spa_5	Why are you here? Oh, I know! You were worried I might run away again, right? Don't worry. I won't be leaving your side for a while.
sc216_spa_max	I'm probably gonna vanish on a whim one day. That's just how it is with me, you know? The light of the moon, the darkness... They call out to me.
sc218_spa_1	I'm so happy!\I wonder if my pactmaker has been to a place like this.
sc218_spa_2	Oh, oh! My skin looks translucent now!\This is better than any skin treatment.
sc218_spa_3	Master, come in.\It's so warm and relaxing in here.
sc218_spa_4	The water is so warm,\I feel as if I'm bathing in your love.
sc218_spa_5	Pleasant temperature, fluffy towels, luxurious steam.\I can enjoy this every day if I get married, can't I?
sc218_spa_max	Just the fact that I get to bathe here every day makes me\the happiest woman in the world!
sc219_spa_1	It's hot in here...
sc219_spa_2	Go away.\I can't stand anyone so indecisive and useless.
sc219_spa_3	You're hilarious.\You trust me without knowing a thing about me?\I don't trust you as far as I can throw you.
sc219_spa_4	The only reason I've acknowledged you as my master\is because it works for me.
sc219_spa_5	Are you that suspicious of a demonic lifestyle?\Drop the human act and be done with it.
sc219_spa_max	Become Archfiend and I'll bow down low for you.\As a useless master, you get only my most basic courtesy.
sc220_spa_1	Nothing beats a dip in the hot spring after a workout! Now, back to the grind!
sc220_spa_2	What a joke. The demon who's supposed to be my master is weaker than his own Childs. Hello, Mr. Pathetic! Are you listening?! Have you no shame?!
sc220_spa_3	Hard work won't let you down. Stay the course, and you're bound to win eventually. If you train that weak little body of yours, at the very least you'll become average!
sc220_spa_max	Mr. Pathetic, as master, you have to set an example for your Childs! Worry not! I'm willing to do all I can to help out.
sc221_spa_1	Enjoy anything and everything to its fullest.\That is the way of the warrior.
sc221_spa_2	Urgh, my head hurts.\Don't mind me. Just talking to myself.
sc221_spa_3	Ears are ringing again. This surely must be what it feels like to be despised by the world. ...Huh, it's out of character for me to say stuff like that. Forget I said anything.
sc221_spa_max	Black demon, to you I entrust my blade. Become the trusted sword of Rakshasa and carve a path into the future.
sc222_spa_1	I'm getting bored...
sc222_spa_2	I, El Dorado, am the sole Child capable of guiding a lowly worm of a candidate like you to victory. Now, sing my praises! Hahahaha!
sc222_spa_3	How shall I be remunerated for all of the aid I am giving you? ...You're penniless, you say?! Hmph! You could devote your life to me, but even a hundred of them wouldn't be enough!
sc222_spa_4	You believe me tight-fisted? Well, you are correct. What can you hope to protect with nothing to your name? Some demon you are.
sc222_spa_max	Demon, I am forced to admit that you are, if nothing else, determined. I deem you worthy to share in a fraction of my riches.
sc223_spa_1	A short rest before I depart on my journey.
sc223_spa_2	I am a wandering Child,\a witness to all things.\Demon,\you are the scene of our paths crossing.
sc223_spa_3	Don't fight the river's flow.\Surrender to it.
sc223_spa_4	Living is like a flowing river\and a stagnant lake.
sc223_spa_5	I finally see the river.\Let's enjoy our journey\until the day we part ways.
sc223_spa_max	I'm glad I met you.\I made such fun memories because of you.\Thank you.
sc225_spa_1	Uh, where's the women's bath?
sc225_spa_2	Can you do something about Davi?! She keeps trying to get me to pull her sleigh! Can't someone else do it?! Don't just leave me to do it on my own!
sc225_spa_3	Man, if only my master was Mona and not you. I'd feel way more confident swearing my allegiance and putting my life on the line.
sc225_spa_4	You want me to be a good Child and stay quiet? Done and done. In fact, next time we're fighting and you're getting your face kicked in, I'll stay reeeal quiet.
sc225_spa_max	Don't you have a girlfriend or something? Someone to cuddle up with during the holidays? ...No? Oh well. It's not like I do either.
sc227_spa_1	What? Even I take off my sunglasses off in the bath... Is it really worth gawking at?
sc227_spa_2	You were on the verge of capturing a Child and you let them go? Don't you DARE stop until you catch them next time. Are we clear? Now, get back out there!
sc227_spa_3	What does "justice" mean to you? Don't tell me you've never given it any thought. Actually, forget I even asked—the answer's written all over your face. Hmmm.
sc227_spa_4	You're asking what my weak point is? Ah, I see what's going on here. You wanna pull a fast one on me. Heh, how demonic of you to be so underhanded.
sc227_spa_5	Hey Boss, what drives you to become the Archfiend? Maybe justice DOES stir within you.
