// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Cheveux tombés	Chacun des brins de ces cheveux montre des traces spirituelles.
2010024	Chemise hawaïenne	Un motif hawaïen unique.\Déconseillé aux poules mouillées.
2010025	Chemise hawaïenne	Un motif hawaïen unique.\Déconseillé aux poules mouillées.
2010033	Maillot de footing de papa	Le maillot de footing trempé de sueur de papa.\Que pensent les enfants quand ils voient leur père porter ça ?
2010034	Maillot de footing de papa	Le maillot de footing trempé de sueur de papa.\Que pensent les enfants quand ils voient leur père porter ça ?
2010035	Maillot de footing de papa	Le maillot de footing trempé de sueur de papa.\Que pensent les enfants quand ils voient leur père porter ça ?
2020043	Gilet rétro	Recommandé par tous les faiseurs de mode de confiance.\À porter pendant une soirée célibataires pour se faire rembarrer.
2020044	Gilet rétro	Recommandé par tous les faiseurs de mode de confiance.\À porter pendant une soirée célibataires pour se faire rembarrer.
2020045	Gilet rétro	Recommandé par tous les faiseurs de mode de confiance.\À porter pendant une soirée célibataires pour se faire rembarrer.
2020053	Écharpe de grand-mère	Tricotée avec amour par une grand-mère.\Il suffit de la regarder pour avoir plus chaud.
2020054	Écharpe de grand-mère	Tricotée avec amour par une grand-mère.\Il suffit de la regarder pour avoir plus chaud.
2020055	Écharpe de grand-mère	Tricotée avec amour par une grand-mère.\Il suffit de la regarder pour avoir plus chaud.
2020063	Bas de pyjama	Aussi doux et confortable qu'il soit,\il ne vous aidera pas à vous endormir immédiatement.
2020064	Bas de pyjama	Aussi doux et confortable qu'il soit,\il ne vous aidera pas à vous endormir immédiatement.
2020065	Bas de pyjama	Aussi doux et confortable qu'il soit,\il ne vous aidera pas à vous endormir immédiatement.
2020073	Pull violet	Un pull démodé,\idéal pour un passage rapide à la supérette.
2020074	Pull violet	Un pull démodé,\idéal pour un passage rapide à la supérette.
2020075	Pull violet	Un pull démodé,\idéal pour un passage rapide à la supérette.
2030083	Short de champion	Un short de sport ultra court.\Trouvez-vous un t-shirt assorti et vous aurez l'air d'un véritable boxeur !
2030084	Short de champion	Un short de sport ultra court.\Trouvez-vous un t-shirt assorti et vous aurez l'air d'un véritable boxeur !
2030085	Short de champion	Un short de sport ultra court.\Trouvez-vous un t-shirt assorti et vous aurez l'air d'un véritable boxeur !
2030093	Tenue de camouflage	Une tenue complète de camouflage pour l'armée.\À utiliser idéalement sur l'herbe.
2030094	Tenue de camouflage	Une tenue complète de camouflage pour l'armée.\À utiliser idéalement sur l'herbe.
2030095	Tenue de camouflage	Une tenue complète de camouflage pour l'armée.\À utiliser idéalement sur l'herbe.
2030103	Uniforme scolaire	Un uniforme scolaire de lycéenne.\On finit tous par les mettre au placard un jour ou l'autre.
2030104	Uniforme scolaire	Un uniforme scolaire de lycéenne.\On finit tous par les mettre au placard un jour ou l'autre.
2030105	Uniforme scolaire	Un uniforme scolaire de lycéenne.\On finit tous par les mettre au placard un jour ou l'autre.
2030113	Nuisette	De la lingerie magnifique.\Idéalement, la personne qui la porte ne devrait avoir honte de rien.
2030114	Nuisette	De la lingerie magnifique.\Idéalement, la personne qui la porte ne devrait avoir honte de rien.
2030115	Nuisette	De la lingerie magnifique.\Idéalement, la personne qui la porte ne devrait avoir honte de rien.
2030123	T-shirt infernal	L'avant porte le nom "Sauna du lac sanglant".\Au dos se trouve une photo de l'Enfer.
2030124	T-shirt infernal	L'avant porte le nom "Sauna du lac sanglant".\Au dos se trouve une photo de l'Enfer.
2030125	T-shirt infernal	L'avant porte le nom "Sauna du lac sanglant".\Au dos se trouve une photo de l'Enfer.
2030133	Ceinture de champion	Une ceinture de champion sans le moindre défaut.\On se sent plus fort rien qu'en la portant.
2030134	Ceinture de champion	Une ceinture de champion sans le moindre défaut.\On se sent plus fort rien qu'en la portant.
2030135	Ceinture de champion	Une ceinture de champion sans le moindre défaut.\On se sent plus fort rien qu'en la portant.
2040143	Cape royale	Ce châle au duvet de plumes fin\n'est pas pour les enfants sages, ni pour les garnements.
2040144	Cape royale	Ce châle au duvet de plumes fin\n'est pas pour les enfants sages, ni pour les garnements.
2040145	Cape royale	Ce châle au duvet de plumes fin\n'est pas pour les enfants sages, ni pour les garnements.
2040153	Robe chinoise	Une robe chinoise avec une fente jusqu'à la hanche.\Désolé, les garçons, c'est réservé aux filles !
2040154	Robe chinoise	Une robe chinoise avec une fente jusqu'à la hanche.\Désolé, les garçons, c'est réservé aux filles !
2040155	Robe chinoise	Une robe chinoise avec une fente jusqu'à la hanche.\Désolé, les garçons, c'est réservé aux filles !
2040163	Manteau de vison	Un manteau de vison élégant.\Peut renfermer l'âme des visons tués pour le confectionner.
2040164	Manteau de vison	Un manteau de vison élégant.\Peut renfermer l'âme des visons tués pour le confectionner.
2040165	Manteau de vison	Un manteau de vison élégant.\Peut renfermer l'âme des visons tués pour le confectionner.
2050183	Tutu	Un authentique tutu de ballerine.\En le portant, on se sent comme un cygne blanc.
2050184	Tutu	Un authentique tutu de ballerine.\En le portant, on se sent comme un cygne blanc.
2050185	Tutu	Un authentique tutu de ballerine.\En le portant, on se sent comme un cygne blanc.
2050193	Robe de mariée	J'ai eu le coup de foudre pour cette robe.\Reste à trouver quelqu'un à épouser. Ça ne saurait tarder...
2050194	Robe de mariée	J'ai eu le coup de foudre pour cette robe.\Reste à trouver quelqu'un à épouser. Ça ne saurait tarder...
2050195	Robe de mariée	J'ai eu le coup de foudre pour cette robe.\Reste à trouver quelqu'un à épouser. Ça ne saurait tarder...
2050203	Bikini	Moins vous avez de vêtements, plus vous frappez fort.\C'est logique, non ?
2050204	Bikini	Moins vous avez de vêtements, plus vous frappez fort.\C'est logique, non ?
2050205	Bikini	Moins vous avez de vêtements, plus vous frappez fort.\C'est logique, non ?
2050213	Combinaison de plongée	Achetée en prévision de combats aquatiques.\Tient plus chaud qu'elle en a l'air.
2050214	Combinaison de plongée	Achetée en prévision de combats aquatiques.\Tient plus chaud qu'elle en a l'air.
2050215	Combinaison de plongée	Achetée en prévision de combats aquatiques.\Tient plus chaud qu'elle en a l'air.
2050283	Costume sur mesure	Une robe de soubrette classique et complètement blindée.\Conçue spécialement pour les soubrettes combattantes.
2050284	Costume sur mesure	Une robe de soubrette classique et complètement blindée.\Conçue spécialement pour les soubrettes combattantes.
2050285	Costume sur mesure	Une robe de soubrette classique et complètement blindée.\Conçue spécialement pour les soubrettes combattantes.
2050293	Robe délicate	Tenue traditionnelle portée à l'étranger.\Absolument imparable quand on veut se faire remarquer.
2050294	Robe délicate	Tenue traditionnelle portée à l'étranger.\Absolument imparable quand on veut se faire remarquer.
2050295	Robe délicate	Tenue traditionnelle portée à l'étranger.\Absolument imparable quand on veut se faire remarquer.
2050313	Gants d'alchimiste	Gants traités pour des expériences scientifiques. \NE PAS les déchirer, les déformer, les laver ou les utiliser près d'une flamme.
2050314	Gants d'alchimiste	Gants traités pour des expériences scientifiques. \NE PAS les déchirer, les déformer, les laver ou les utiliser près d'une flamme.
2050315	Gants d'alchimiste	Gants traités pour des expériences scientifiques. \NE PAS les déchirer, les déformer, les laver ou les utiliser près d'une flamme.
2050323	Bonnet de Père Noël	On a trouvé l'ADN du renne disparu\dans le bonnet du Père Noël.
2050324	Bonnet de Père Noël	On a trouvé l'ADN du renne disparu\dans le bonnet du Père Noël.
2050325	Bonnet de Père Noël	On a trouvé l'ADN du renne disparu\dans le bonnet du Père Noël.
2050343	Coiffe de rage	La coiffe d'infirmière de Déméter, immunisée contre la plus terrible des colères.
2050344	Coiffe de rage	La coiffe d'infirmière de Déméter, immunisée contre la plus terrible des colères.
2050345	Coiffe de rage	La coiffe d'infirmière de Déméter, immunisée contre la plus terrible des colères.
2050363	Voile fleuri	Un voile de mariée orné de fleurs préservées.
2050364	Voile fleuri	Un voile de mariée orné de fleurs préservées.
2050365	Voile fleuri	Un voile de mariée orné de fleurs préservées.
2050373	Genouillères	Les genouillères d'Isolde conçues par Chaîne Evil. Elles sont faites de néoprène spécial.
2050374	Genouillères	Les genouillères d'Isolde conçues par Chaîne Evil. Elles sont faites de néoprène spécial.
2050375	Genouillères	Les genouillères d'Isolde conçues par Chaîne Evil. Elles sont faites de néoprène spécial.
2050383	Robe rouge profond	Robe de Brigit, ornée d'un motif de rose. \Dégage une légère odeur de sang.
2050384	Robe rouge profond	Robe de Brigit, ornée d'un motif de rose. \Dégage une légère odeur de sang.
2050385	Robe rouge profond	Robe de Brigit, ornée d'un motif de rose. \Dégage une légère odeur de sang.
2050393	Voile d'exorcisme	Le voile qu'utilise Rita pour ses exorcismes. Il attire les démons dans une étreinte sombre.
2050394	Voile d'exorcisme	Le voile qu'utilise Rita pour ses exorcismes. Il attire les démons dans une étreinte sombre.
2050395	Voile d'exorcisme	Le voile qu'utilise Rita pour ses exorcismes. Il attire les démons dans une étreinte sombre.
2050403	Robe noire du chagrin	Robe noire dégageant une étrange puissance magique.
2050404	Robe noire du chagrin	Robe noire dégageant une étrange puissance magique.
2050405	Robe noire du chagrin	Robe noire dégageant une étrange puissance magique.
2050413	Robe bouffante	Robe bouffante gothique très classe\que Báthory adore.
2050414	Robe bouffante	Robe bouffante gothique très classe\que Báthory adore.
2050415	Robe bouffante	Robe bouffante gothique très classe\que Báthory adore.
2050423	Cape personnalisée dédicacée	Prototype de vêtement par un célèbre couturier. \Dédicacé par Natalis en personne.
2050424	Cape personnalisée dédicacée	Prototype de vêtement par un célèbre couturier. \Dédicacé par Natalis en personne.
2050425	Cape personnalisée dédicacée	Prototype de vêtement par un célèbre couturier. \Dédicacé par Natalis en personne.
2050433	Robe éclatante	La tenue de scène d'Aria.\C'est l'incarnation de ses rêves, de sa passion et de son travail acharné.
2050434	Robe éclatante	La tenue de scène d'Aria.\C'est l'incarnation de ses rêves, de sa passion et de son travail acharné.
2050435	Robe éclatante	La tenue de scène d'Aria.\C'est l'incarnation de ses rêves, de sa passion et de son travail acharné.
2050443	Tenue du nouvel an	Bonne année !\Vêtement original du nouvel an, préparé avec détermination.
2050444	Tenue du nouvel an	Bonne année !\Vêtement original du nouvel an, préparé avec détermination.
2050445	Tenue du nouvel an	Bonne année !\Vêtement original du nouvel an, préparé avec détermination.
2050453	Mitre de Dana	Une mitre symbolisant la majesté de Dana.
2050454	Mitre de Dana	Une mitre symbolisant la majesté de Dana.
2050455	Mitre de Dana	Une mitre symbolisant la majesté de Dana.
2050473	Lunettes de l'alchimiste	Pourvues d'un filtre à lumière bleue et d'un mode microscope,\ces lunettes de pointe peuvent tout faire.
2050474	Lunettes de l'alchimiste	Pourvues d'un filtre à lumière bleue et d'un mode microscope,\ces lunettes de pointe peuvent tout faire.
2050475	Lunettes de l'alchimiste	Pourvues d'un filtre à lumière bleue et d'un mode microscope,\ces lunettes de pointe peuvent tout faire.
2050483	Bikini de Limos	Armure-bikini fabriquée spécialement pour Limos. \Apparemment, ça lui suffit comme protection... dans l'ensemble.
2050484	Bikini de Limos	Armure-bikini fabriquée spécialement pour Limos. \Apparemment, ça lui suffit comme protection... dans l'ensemble.
2050485	Bikini de Limos	Armure-bikini fabriquée spécialement pour Limos. \Apparemment, ça lui suffit comme protection... dans l'ensemble.
2050493	Tenue de combat de Makoto	Tenue de combat de Makoto.\Déconseillée aux craintifs ou aux personnes à larges épaules.
2050494	Tenue de combat de Makoto	Tenue de combat de Makoto.\Déconseillée aux craintifs ou aux personnes à larges épaules.
2050495	Tenue de combat de Makoto	Tenue de combat de Makoto.\Déconseillée aux craintifs ou aux personnes à larges épaules.
2050503	Écharpe de Caïn	Écharpe symbolisant le vœu de chasteté, de pauvreté et d'obéissance.
2050504	Écharpe de Caïn	Écharpe symbolisant le vœu de chasteté, de pauvreté et d'obéissance.
2050505	Écharpe de Caïn	Écharpe symbolisant le vœu de chasteté, de pauvreté et d'obéissance.
2050513	Maillot de bain de Billy	Un maillot de bain pour hydrotireuse à porter lors des batailles de pistolets à eau.\Il est souple et résistant à l'eau.
2050514	Maillot de bain de Billy	Un maillot de bain pour hydrotireuse à porter lors des batailles de pistolets à eau.\Il est souple et résistant à l'eau.
2050515	Maillot de bain de Billy	Un maillot de bain pour hydrotireuse à porter lors des batailles de pistolets à eau.\Il est souple et résistant à l'eau.
2050523	Robe de Keino	La robe de Keino.\Elle a été cousue entièrement à la main.
2050524	Robe de Keino	La robe de Keino.\Elle a été cousue entièrement à la main.
2050525	Robe de Keino	La robe de Keino.\Elle a été cousue entièrement à la main.
2050533	Ruban de Thisbé	Ruban chic brillant d'un éclat argenté mat.
2050534	Ruban de Thisbé	Ruban chic brillant d'un éclat argenté mat.
2050535	Ruban de Thisbé	Ruban chic brillant d'un éclat argenté mat.
2050543	Sous-vêtement d'homme délicat	Sous-vêtement de Vincent amouraché.
2050544	Sous-vêtement d'homme délicat	Sous-vêtement de Vincent amouraché.
2050545	Sous-vêtement d'homme délicat	Sous-vêtement de Vincent amouraché.
2050553	Robe de Laima	Une tenue exclusive de Laima qui accentue son charme.
2050554	Robe de Laima	Une tenue exclusive de Laima qui accentue son charme.
2050555	Robe de Laima	Une tenue exclusive de Laima qui accentue son charme.
2050563	Bracelet de pouvoir bouddhiste	Un bracelet qui donne de la puissance aux exorcistes ayant atteint l'illumination.
2050564	Bracelet de pouvoir bouddhiste	Un bracelet qui donne de la puissance aux exorcistes ayant atteint l'illumination.
2050565	Bracelet de pouvoir bouddhiste	Un bracelet qui donne de la puissance aux exorcistes ayant atteint l'illumination.
2050573	Diadème de loup en or	Un bandeau doré vendu selon le principe du premier arrivé, premier servi.\Il augmente la confiance en soi de la personne qui le porte.
2050574	Diadème de loup en or	Un bandeau doré vendu selon le principe du premier arrivé, premier servi.\Il augmente la confiance en soi de la personne qui le porte.
2050575	Diadème de loup en or	Un bandeau doré vendu selon le principe du premier arrivé, premier servi.\Il augmente la confiance en soi de la personne qui le porte.
2050583	Doudoune	Une doudoune blanche qu'Eshu porte tous les jours.
2050584	Doudoune	Une doudoune blanche qu'Eshu porte tous les jours.
2050585	Doudoune	Une doudoune blanche qu'Eshu porte tous les jours.
2050593	Dentelle violette du clair de lune	Une tenue séduisante très légère qui offre une protection magique.\Elle est faite d'un tissu très fin.
2050594	Dentelle violette du clair de lune	Une tenue séduisante très légère qui offre une protection magique.\Elle est faite d'un tissu très fin.
2050595	Dentelle violette du clair de lune	Une tenue séduisante très légère qui offre une protection magique.\Elle est faite d'un tissu très fin.
2050603	Uniforme de lancier	L'uniforme d'un chevalier prêt à risquer sa vie pour protéger son maître.
2050604	Uniforme de lancier	L'uniforme d'un chevalier prêt à risquer sa vie pour protéger son maître.
2050605	Uniforme de lancier	L'uniforme d'un chevalier prêt à risquer sa vie pour protéger son maître.
2050613	Doudoune de Pachet	La doudoune rose de Pachet.\Elle tient bien au chaud.
2050614	Doudoune de Pachet	La doudoune rose de Pachet.\Elle tient bien au chaud.
2050615	Doudoune de Pachet	La doudoune rose de Pachet.\Elle tient bien au chaud.
2050623	Jolies manchettes	Des manchettes en dentelle.\D'un blanc si pur qu'elles accentuent la pureté de leur porteur.
2050624	Jolies manchettes	Des manchettes en dentelle.\D'un blanc si pur qu'elles accentuent la pureté de leur porteur.
2050625	Jolies manchettes	Des manchettes en dentelle.\D'un blanc si pur qu'elles accentuent la pureté de leur porteur.
2050633	Cape de Pallas	Cape sombre faite sur mesure pour Pallas. \Son drapé fluide est d'une incroyable finesse.
2050634	Cape de Pallas	Cape sombre faite sur mesure pour Pallas. \Son drapé fluide est d'une incroyable finesse.
2050635	Cape de Pallas	Cape sombre faite sur mesure pour Pallas. \Son drapé fluide est d'une incroyable finesse.
2050643	Veste confortable	La veste d'Euros, taillée sur mesure.\Une taille au-dessus pour davantage de confort.
2050644	Veste confortable	La veste d'Euros, taillée sur mesure.\Une taille au-dessus pour davantage de confort.
2050645	Veste confortable	La veste d'Euros, taillée sur mesure.\Une taille au-dessus pour davantage de confort.
2050653	Robe de Sémélé	Une robe blanche immaculée qui donne l'impression\que la personne qui la porte est aussi pure que la neige.
2050654	Robe de Sémélé	Une robe blanche immaculée qui donne l'impression\que la personne qui la porte est aussi pure que la neige.
2050655	Robe de Sémélé	Une robe blanche immaculée qui donne l'impression\que la personne qui la porte est aussi pure que la neige.
2050663	Tenue d'émail	Tenue très risquée d'I.A., \la journaliste de Chaîne Evil.
2050664	Tenue d'émail	Tenue très risquée d'I.A., \la journaliste de Chaîne Evil.
2050665	Tenue d'émail	Tenue très risquée d'I.A., \la journaliste de Chaîne Evil.
2050673	Jupe plissée	Le costume de présentatrice de Rafale.\Il augmente son charisme et souligne ses charmes.
2050674	Jupe plissée	Le costume de présentatrice de Rafale.\Il augmente son charisme et souligne ses charmes.
2050675	Jupe plissée	Le costume de présentatrice de Rafale.\Il augmente son charisme et souligne ses charmes.
2050693	Châle de Bari	Objet traditionnel de Bari qui irradie quelque chose de mystérieux. \Dégage une lueur bleue dans l'obscurité.
2050694	Châle de Bari	Objet traditionnel de Bari qui irradie quelque chose de mystérieux. \Dégage une lueur bleue dans l'obscurité.
2050695	Châle de Bari	Objet traditionnel de Bari qui irradie quelque chose de mystérieux. \Dégage une lueur bleue dans l'obscurité.
2050703	Écharpe Blossom Banquet	Une écharpe aux couleurs des fleurs de cerisier virevoltant au clair de lune.
2050704	Écharpe Blossom Banquet	Une écharpe aux couleurs des fleurs de cerisier virevoltant au clair de lune.
2050705	Écharpe Blossom Banquet	Une écharpe aux couleurs des fleurs de cerisier virevoltant au clair de lune.
2050713	Coiffe florale	Une coiffe qui confère du courage à Roussalka.
2050714	Coiffe florale	Une coiffe qui confère du courage à Roussalka.
2050715	Coiffe florale	Une coiffe qui confère du courage à Roussalka.
2050723	Bikini de Harpie	Une tenue sur mesure aussi belle\que confortable.
2050724	Bikini de Harpie	Une tenue sur mesure aussi belle\que confortable.
2050725	Bikini de Harpie	Une tenue sur mesure aussi belle\que confortable.
2050733	Ailes d'Udumbara	Des ailes puissantes, aussi légères que des\fleurs d'Udumbara.
2050734	Ailes d'Udumbara	Des ailes puissantes, aussi légères que des\fleurs d'Udumbara.
2050735	Ailes d'Udumbara	Des ailes puissantes, aussi légères que des\fleurs d'Udumbara.
2050743	Couronne de l'île d'Amos	Cette couronne est son symbole.\On lui accorde toujours son attention.
2050744	Couronne de l'île d'Amos	Cette couronne est son symbole.\On lui accorde toujours son attention.
2050745	Couronne de l'île d'Amos	Cette couronne est son symbole.\On lui accorde toujours son attention.
2050753	Tenue de pilote	Une veste personnalisée\destinée à protéger un pilote lors des courses de voiture.
2050754	Tenue de pilote	Une veste personnalisée\destinée à protéger un pilote lors des courses de voiture.
2050755	Tenue de pilote	Une veste personnalisée\destinée à protéger un pilote lors des courses de voiture.
2050763	Ailes d'Aurore	Ces ailes permettent de fuir\même les plus terribles cauchemars.
2050764	Ailes d'Aurore	Ces ailes permettent de fuir\même les plus terribles cauchemars.
2050765	Ailes d'Aurore	Ces ailes permettent de fuir\même les plus terribles cauchemars.
2050823	Bouclier porte-bonheur	Le bouclier de Titania, un objet porte-bonheur qui éloigne le mauvais œil.
2050824	Bouclier porte-bonheur	Le bouclier de Titania, un objet porte-bonheur qui éloigne le mauvais œil.
2050825	Bouclier porte-bonheur	Le bouclier de Titania, un objet porte-bonheur qui éloigne le mauvais œil.
2050833	Vermilion Bird Mirage Cheongsam	Un cheongsam évoquant l'Oiseau vermillon prenant son envol.
2050834	Vermilion Bird Mirage Cheongsam	Un cheongsam évoquant l'Oiseau vermillon prenant son envol.
2050835	Vermilion Bird Mirage Cheongsam	Un cheongsam évoquant l'Oiseau vermillon prenant son envol.
2050843	Bouclier de Roselenta	Si une malédiction vous vise, je m'en charge.
2050844	Bouclier de Roselenta	Si une malédiction vous vise, je m'en charge.
2050845	Bouclier de Roselenta	Si une malédiction vous vise, je m'en charge.
2050853	Haut de Mona	Petit haut modifié par Mona \pour plus d'aisance au combat.
2050854	Haut de Mona	Petit haut modifié par Mona \pour plus d'aisance au combat.
2050855	Haut de Mona	Petit haut modifié par Mona \pour plus d'aisance au combat.
2050863	Voile de Mongsu	Voile qu'Arhat met lorsqu'elle veut se cacher le visage. \Elle le porte généralement autour de la taille.
2050864	Voile de Mongsu	Voile qu'Arhat met lorsqu'elle veut se cacher le visage. \Elle le porte généralement autour de la taille.
2050865	Voile de Mongsu	Voile qu'Arhat met lorsqu'elle veut se cacher le visage. \Elle le porte généralement autour de la taille.
2050883	Au travail en talons	Elle est capable de faire n'importe quelle chorégraphie. \Les talons hauts de Neptune♥ brillent de l'éclat du travail acharné.
2050884	Au travail en talons	Elle est capable de faire n'importe quelle chorégraphie. \Les talons hauts de Neptune♥ brillent de l'éclat du travail acharné.
2050885	Au travail en talons	Elle est capable de faire n'importe quelle chorégraphie. \Les talons hauts de Neptune♥ brillent de l'éclat du travail acharné.
2050893	Bretelles d'Ève	Une protection qui garde la dignité d'Ève. Elle est faite de tissu spécial.
2050894	Bretelles d'Ève	Une protection qui garde la dignité d'Ève. Elle est faite de tissu spécial.
2050895	Bretelles d'Ève	Une protection qui garde la dignité d'Ève. Elle est faite de tissu spécial.
2050903	Jolie capeline	Un grand chapeau à bords larges\qui bloque tout.
2050904	Jolie capeline	Un grand chapeau à bords larges\qui bloque tout.
2050905	Jolie capeline	Un grand chapeau à bords larges\qui bloque tout.
2050913	Jupe de Yuna	Une splendide jupe qui peut l'envelopper\pour former un bouclier géant.
2050914	Jupe de Yuna	Une splendide jupe qui peut l'envelopper\pour former un bouclier géant.
2050915	Jupe de Yuna	Une splendide jupe qui peut l'envelopper\pour former un bouclier géant.
2050923	Uniforme d'Artémisia	Uniforme de combat conçu pour résister à un déluge de balles.
2050924	Uniforme d'Artémisia	Uniforme de combat conçu pour résister à un déluge de balles.
2050925	Uniforme d'Artémisia	Uniforme de combat conçu pour résister à un déluge de balles.
2050933	Cape parfaite	La cape d'Odin, faite d'un matériau spécial\qui offre une protection parfaite en combat.
2050934	Cape parfaite	La cape d'Odin, faite d'un matériau spécial\qui offre une protection parfaite en combat.
2050935	Cape parfaite	La cape d'Odin, faite d'un matériau spécial\qui offre une protection parfaite en combat.
2050943	Manches de Lassi	Des manches faites à partir d'un tissu spécial\pour protéger les bras des morsures des pires prédateurs.
2050944	Manches de Lassi	Des manches faites à partir d'un tissu spécial\pour protéger les bras des morsures des pires prédateurs.
2050945	Manches de Lassi	Des manches faites à partir d'un tissu spécial\pour protéger les bras des morsures des pires prédateurs.
2050953	Masque de monstre	Agit comme un charme qui repousse le mal.
2050954	Masque de monstre	Agit comme un charme qui repousse le mal.
2050955	Masque de monstre	Agit comme un charme qui repousse le mal.
2050963	Lunettes de Boréas	Des lunettes spéciales pour protéger du vent et du soleil.\Elles changent de couleur selon la lumière et l'angle.
2050964	Lunettes de Boréas	Des lunettes spéciales pour protéger du vent et du soleil.\Elles changent de couleur selon la lumière et l'angle.
2050965	Lunettes de Boréas	Des lunettes spéciales pour protéger du vent et du soleil.\Elles changent de couleur selon la lumière et l'angle.
2050973	Manteau de chasseuse de vampires	Le manteau d'une chasseuse de vampires,\ample et idéal pour chasser.
2050974	Manteau de chasseuse de vampires	Le manteau d'une chasseuse de vampires,\ample et idéal pour chasser.
2050975	Manteau de chasseuse de vampires	Le manteau d'une chasseuse de vampires,\ample et idéal pour chasser.
2050983	Jupe de Philotes	La jupe de Philotes est très évasée et faite de matériaux spéciaux.\Elle permet de se protéger contre les attaques.
2050984	Jupe de Philotes	La jupe de Philotes est très évasée et faite de matériaux spéciaux.\Elle permet de se protéger contre les attaques.
2050985	Jupe de Philotes	La jupe de Philotes est très évasée et faite de matériaux spéciaux.\Elle permet de se protéger contre les attaques.
2050993	Collants de Duetsha	Collants de Duetsha, faits d'un matériau spécial. \Même les lames les plus tranchantes ne peuvent passer à travers.
2050994	Collants de Duetsha	Collants de Duetsha, faits d'un matériau spécial. \Même les lames les plus tranchantes ne peuvent passer à travers.
2050995	Collants de Duetsha	Collants de Duetsha, faits d'un matériau spécial. \Même les lames les plus tranchantes ne peuvent passer à travers.
3010013	Anti-esprits	Censée éloigner les démons inférieurs.\Son efficacité laisse à désirer.
3010014	Anti-esprits	Censée éloigner les démons inférieurs.\Son efficacité laisse à désirer.
3010015	Anti-esprits	Censée éloigner les démons inférieurs.\Son efficacité laisse à désirer.
3010023	Masque rouge	Un masque que le Maître lui-même aurait porté.\Un conseil : il ne faut pas croire tout ce qu'on raconte.
3010024	Masque rouge	Un masque que le Maître lui-même aurait porté.\Un conseil : il ne faut pas croire tout ce qu'on raconte.
3010025	Masque rouge	Un masque que le Maître lui-même aurait porté.\Un conseil : il ne faut pas croire tout ce qu'on raconte.
3010033	Menko doré	Menko : un jeu pour enfants fabriqué avec des feuilles dorées.\Dur d'apparence même s'il ne l'est pas en réalité.
3010034	Menko doré	Menko : un jeu pour enfants fabriqué avec des feuilles dorées.\Dur d'apparence même s'il ne l'est pas en réalité.
3010035	Menko doré	Menko : un jeu pour enfants fabriqué avec des feuilles dorées.\Dur d'apparence même s'il ne l'est pas en réalité.
3020043	Cache-œil en tissu	Porté par une adolescente qui passait par là.\Dès que vous le mettez, votre œil gauche devient douloureux.
3020044	Cache-œil en tissu	Porté par une adolescente qui passait par là.\Dès que vous le mettez, votre œil gauche devient douloureux.
3020045	Cache-œil en tissu	Porté par une adolescente qui passait par là.\Dès que vous le mettez, votre œil gauche devient douloureux.
3020053	Sifflet d'alerte	Appelez les autorités à l'aide si vous vous trouvez en difficulté.
3020054	Sifflet d'alerte	Appelez les autorités à l'aide si vous vous trouvez en difficulté.
3020055	Sifflet d'alerte	Appelez les autorités à l'aide si vous vous trouvez en difficulté.
3020063	Casquette blanche	Généralement portée lors des événements sportifs scolaires.\Franchement, elle a l'air plutôt inoffensive.
3020064	Casquette blanche	Généralement portée lors des événements sportifs scolaires.\Franchement, elle a l'air plutôt inoffensive.
3020065	Casquette blanche	Généralement portée lors des événements sportifs scolaires.\Franchement, elle a l'air plutôt inoffensive.
3020073	Bracelet	Cet accessoire argenté spécial ne peut être porté qu'une fois\que vous avez commis un crime digne de lui.
3020074	Bracelet	Cet accessoire argenté spécial ne peut être porté qu'une fois\que vous avez commis un crime digne de lui.
3020075	Bracelet	Cet accessoire argenté spécial ne peut être porté qu'une fois\que vous avez commis un crime digne de lui.
3030083	Bougie parfumée à la menthe	Saviez-vous que la menthe a des propriétés guérissantes ?\Moi non plus.
3030084	Bougie parfumée à la menthe	Saviez-vous que la menthe a des propriétés guérissantes ?\Moi non plus.
3030085	Bougie parfumée à la menthe	Saviez-vous que la menthe a des propriétés guérissantes ?\Moi non plus.
3030093	Insecticide	Agit sur tous les types d'insectes, et nous disons bien TOUS.\Attention à ne pas vous en asperger.
3030094	Insecticide	Agit sur tous les types d'insectes, et nous disons bien TOUS.\Attention à ne pas vous en asperger.
3030095	Insecticide	Agit sur tous les types d'insectes, et nous disons bien TOUS.\Attention à ne pas vous en asperger.
3030103	Porte-clés queue de renard	Fait d'une queue de renard entière.\Vous sentez que son ancien propriétaire veille sur vous.
3030104	Porte-clés queue de renard	Fait d'une queue de renard entière.\Vous sentez que son ancien propriétaire veille sur vous.
3030105	Porte-clés queue de renard	Fait d'une queue de renard entière.\Vous sentez que son ancien propriétaire veille sur vous.
3030113	Boîte à bijoux de luxe	Une boîte à bijoux élégante et reluisante de style classique.
3030114	Boîte à bijoux de luxe	Une boîte à bijoux élégante et reluisante de style classique.
3030115	Boîte à bijoux de luxe	Une boîte à bijoux élégante et reluisante de style classique.
3030123	Puzzle 3D	Intéressant, mais n'améliore ni votre magie ni votre intelligence.
3030124	Puzzle 3D	Intéressant, mais n'améliore ni votre magie ni votre intelligence.
3030125	Puzzle 3D	Intéressant, mais n'améliore ni votre magie ni votre intelligence.
3040133	Trèfle à quatre feuilles	Les rumeurs abondent, mais sa capacité à porter bonheur doit encore faire l'objet de tests.
