// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	ตั๋วอัญเชิญ_3-5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1505	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1506	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1507	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1508	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1509	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1510	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1511	ตั๋วอัญเชิญไชลด์5★เวิลด์บอสเบสต์	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1512	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1513	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1514	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1515	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1516	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1517	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1518	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1519	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1520	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1521	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1522	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1523	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1524	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1525	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1526	ตั๋วอัญเชิญรางวัลโฆษณา	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในโฆษณากาชา
1527	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1528	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1529	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1530	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1531	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1532	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1533	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1534	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1535	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1536	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1537	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1538	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1539	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1540	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1541	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1542	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1543	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1544	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1545	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1546	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1547	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1548	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1549	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1550	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1551	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1552	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1553	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1554	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1555	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1556	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1557	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1558	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1559	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1560	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1561	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1562	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1563	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1564	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1565	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1566	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1567	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1568	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1569	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1570	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1571	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1572	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1573	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1574	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1575	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1576	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1577	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1801	ตั๋วอัญเชิญ_3-5★ 10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size> 10 ครั้ง จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1811	ตั๋วอัญเชิญไชลด์ธาตุน้ำ 3-5★10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size><color=ff0000>ธาตุน้ำ</color></size>10 ครั้ง\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1812	ตั๋วอัญเชิญไชลด์ธาตุไฟ 3-5★10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size><color=ff0000>ธาตุไฟ</color></size>10 ครั้ง\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1813	ตั๋วอัญเชิญไชลด์ธาตุไม้ 3-5★10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size><color=ff0000>ธาตุน้ำ</color></size>10 ครั้ง\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1814	ตั๋วอัญเชิญไชลด์ธาตุแสง 3-5★10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size><color=ff0000>ธาตุแสง</color></size>10 ครั้ง\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1815	ตั๋วอัญเชิญไชลด์ธาตุมืด 3-5★10 ครั้ง	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size><color=ff0000>ธาตุมืด</color></size>10 ครั้ง\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1901	ถุงโชคดี 2018_ตั๋วอัญเชิญ 5★	ตั๋วใบนี้สามารถอัญเชิญ<size=1.1><color=ffc400>ไชลด์ 5★</color></size> เหมือนกับที่มีอยู่ในรายชื่อของถุงโชคดีปี 2018
1902	ถุงโชคดี 2018_ตั๋วอัญเชิญ 4-5★	ตั๋วใบนี้สามารถอัญเชิญ<size=1.1><color=ffc400>ไชลด์ 4-5★</color></size> เหมือนกับที่มีอยู่ในรายชื่อของถุงโชคดีปี 2018
1911	ตั๋วอัญเชิญ_ธาตุน้ำ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุน้ำ</color>
1912	ตั๋วอัญเชิญ_ธาตุแสง 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุไฟ</color>
1913	ตั๋วอัญเชิญ_ธาตุไม้ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุไม้</color>
1914	ตั๋วอัญเชิญ WD_ธาตุแสง 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุแสง</color>
1915	ตั๋วอัญเชิญ_ธาตุมืด 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุมืด</color>
1916	ตั๋วอัญเชิญ_ธาตุน้ำ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุน้ำ</color>
1917	ตั๋วอัญเชิญ_ธาตุแสง 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุไฟ</color>
1918	ตั๋วอัญเชิญ_ธาตุไม้ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุไม้</color>
1919	ตั๋วอัญเชิญ_ธาตุแสง 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุแสง</color>
1920	ตั๋วอัญเชิญ_ธาตุมืด 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุมืด</color>
1921	ตั๋วอัญเชิญ_สายโจมตี 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายโจมตี</color>
1922	ตั๋วอัญเชิญ_สายป้องกัน 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายป้องกัน</color>
1923	ตั๋วอัญเชิญ_สายรักษา 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายรักษา</color>
1924	ตั๋วอัญเชิญ_สายดีบัฟ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายดีบัฟ</color>
1925	ตั๋วอัญเชิญ_สายสนับสนุน 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายสนับสนุน</color>
1926	ตั๋วอัญเชิญ_สายโจมตี 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายโจมตี</color>
1927	ตั๋วอัญเชิญ_สายป้องกัน 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายป้องกัน</color>
1928	ตั๋วอัญเชิญ_สายรักษา 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายรักษา</color>
1929	ตั๋วอัญเชิญ_สายดีบัฟ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายดีบัฟ</color>
1930	ตั๋วอัญเชิญ_สายสนับสนุน 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>สายสนับสนุน</color>
2101	ตั๋วเครื่องประดับ _3-5★	รับเครื่องประดับ
2102	ตั๋วเครื่องประดับ _2-5★	รับเครื่องประดับ
2103	ตั๋วเครื่องประดับ _4-5★	รับเครื่องประดับ
2104	ตั๋วเครื่องประดับ _1-3★	รับเครื่องประดับ
2105	ตั๋วเครื่องประดับ _2-3★	รับเครื่องประดับ
2106	ตั๋วเครื่องประดับ_การันตี 5★	รับเครื่องประดับ
2107	ตั๋วเครื่องประดับ_การันตี 5★ (A)	รับเครื่องประดับ
2201	ตั๋วอุปกรณ์_3-5★	รับอุปกรณ์แบบสุ่ม
2202	ตั๋วอุปกรณ์_2-5★	รับอุปกรณ์แบบสุ่ม
2203	ตั๋วอุปกรณ์_4-5★	รับอุปกรณ์แบบสุ่ม
2204	ตั๋วอุปกรณ์_1-3★	รับอุปกรณ์แบบสุ่ม
2205	ตั๋วอุปกรณ์_2-3★	รับอุปกรณ์แบบสุ่ม
2206	ตั๋วอุปกรณ์_การันตี 5★	รับอุปกรณ์แบบสุ่ม
2207	ตั๋วอุปกรณ์_การันตี 5★ (A)	รับอุปกรณ์แบบสุ่ม
2301	ตั๋วอาวุธ_การันตี 5★	รับอาวุธ
2302	ตั๋วอาวุธ_การันตี 5★ (A)	รับอาวุธ
2303	ตั๋วอาวุธ_5★ (A)	รับอาวุธ 5★ เกรด A แบบสุ่ม
2401	ตั๋วเครื่องป้องกัน _การันตี 5★	รับเครื่องป้องกัน
2402	ตั๋วเครื่องป้องกัน _การันตี 5★ (A)	รับเครื่องป้องกัน
2403	ตั๋วเครื่องป้องกัน_5★ (A)	รับเครื่องป้องกัน 5★ เกรด A แบบสุ่ม
2501	ตั๋วอัญเชิญโซลคาร์ต้า 3-5★	อัญเชิญโซลคาร์ต้า 1 ใบ
2502	ตั๋วอัญเชิญโซลคาร์ต้า 4-5★	อัญเชิญโซลคาร์ต้า 1 ใบ
2503	ตั๋วอัญเชิญโซลคาร์ต้า 5★	อัญเชิญโซลคาร์ต้า 1 ใบ
2504	ตั๋วอัญเชิญโซลคาร์ต้า 3-4★	อัญเชิญโซลคาร์ต้า 1 ใบ
2505	ตั๋วอัญเชิญโซลคาร์ต้าปริซึม 5★	อัญเชิญโซลคาร์ต้า 1 ใบ
2600	ตั๋วโซลคาร์ต้า DOA 3-5★	อัญเชิญโซลคาร์ต้าโคลาโบ DOA 3-5★
2601	ตั๋วโซลคาร์ต้า DOA 4-5★	อัญเชิญโซลคาร์ต้าโคลาโบ DOA 4-5★
2602	ตั๋วอัญเชิญ BLAZBLUEคาต้า	ตั๋วอัญเชิญโดยคุณจะได้รับ Central Fiction หรืสามสหายเพื่อนรัก
2603	ตั๋วอัญเชิญอุปกรณ์นักเล่นแร่แปรธาตุ	ตั๋วอัญเชิญที่ให้คุณสามารถเรียกกระติกจำเป็น หรือถุงมือของนักเล่นแร่แปรธาตุ หรือชุดเครื่องมือเล่นแร่แปรธาตุอย่างใดอย่างหนึ่งได้ (อันดับ A-C)
2604	ตั๋วอัญเชิญแบบกำหนดอุปกรณ์ที่ดีที่สุด	ตั๋วอัญเชิญที่ให้คุณสามารถเรียกระติกจำเป็น ถุงมือของนักเล่นแร่แปรธาตุ ชุดเครื่องมือเล่นแร่แปรธาตุ ไมโครโฟนที่น่าหลงใหล ชุดเคลือบ หรือถุงมือของนักเล่นแร่แปรธาตุ อย่างใดอย่างหนึ่งได้ (อันดับ A-C)
2605	ตั๋วอัญเชิญอุปกรณ์ของบาริ	ตั๋วอัญเชิญที่ใช้อัญเชิญพัดแบบพับได้ของบาริ ผ้าคลุมไหล่ของบาริ หรือ เครื่องรางปลอบใจของบาริ (คลาส A–C)
2606	ตั๋วอัญเชิญที่ให้เลือกอุปกรณ์ที่ดีที่สุด (อันดับ A-C)	ตั๋วอัญเชิญที่ให้คุณสามารถเรียกกระติกจำเป็น ถุงมือของนักเล่นแร่แปรธาตุ ชุดเครื่องมือเล่นแร่แปรธาตุ ไมโครโฟนที่น่าหลงใหล ชุดเคลือบเงา หูฟังความละเอียดสูง พัดแบบพับได้ของบาริ ผ้าคลุมไหล่ของบาริ หรือ เครื่องรางปลอบใจของบาริ (อันดับ A-C)
2607	ตั๋วอัญเชิญอุปกรณ์3★	รับอุปกรณ์แบบสุ่ม
2608	ตั๋วอัญเชิญอุปกรณ์4★	รับอุปกรณ์แบบสุ่ม
2609	ตั๋วอัญเชิญโซลคาร์ต้า 3★	อัญเชิญโซลคาร์ต้า 1 ใบ
2610	ตั๋วอัญเชิญโซลคาร์ต้า 4★	อัญเชิญโซลคาร์ต้า 1 ใบ
2611	ตั๋วอัญเชิญอุปกรณ์4★(A~B)	รับอุปกรณ์แบบสุ่ม
2612	ตั๋วอัญเชิญอุปกรณ์3★(A~B)	รับอุปกรณ์แบบสุ่ม
2701	ในตำนาน_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดในตำนาน 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2702	ผู้ยิ่งใหญ่_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดผู้ยิ่งใหญ่ 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2703	หายาก_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดหายาก 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2704	พิเศษ_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดพิเศษ 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2705	ธรรมดา_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดธรรมดา 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2706	ระดับพรีเมียม_ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดแบบสุ่ม 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2707	ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดแบบสุ่ม 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2708	ผู้ยิ่งใหญ่ตั๋วอัญเชิญหุ่นเชิด	อัญเชิญหุ่นเชิดแบบสุ่ม 1 ตัว\แตะปุ่มดังกล่าวเพื่อตรวจสอบหุ่นเชิดที่มี
2901	หีบออร์บ +1	สามารถรับออร์บสำหรับอัพเกรดอาวุธ/เครื่องป้องกัน/เครื่องประดับ +1 ได้ 1 ชิ้น
2903	หีบออร์บ +3	สามารถรับออร์บสำหรับอัพเกรดอาวุธ/เครื่องป้องกัน/เครื่องประดับ +3 ได้ 1 ชิ้น
2905	หีบออร์บ +5	สามารถรับออร์บสำหรับอัพเกรดอาวุธ/เครื่องป้องกัน/เครื่องประดับ +5 ได้ 1 ชิ้น
2910	หีบออร์บ +10	สามารถรับออร์บสำหรับอัพเกรดอาวุธ/เครื่องป้องกัน/เครื่องประดับ +10 ได้ 1 ชิ้น
